,Date,STZ US Equity,STZ/B US Equity,STZ US Equity / STZ/B US Equity,SMA_21,SMA_50,SMA_120
0,1986-07-07,1.8889,3.0926,0.6108,,,
1,1986-07-08,1.8889,3.0,0.6296,,,
2,1986-07-09,1.8889,3.0093,0.6277,,,
3,1986-07-10,1.8889,2.9907,0.6316,,,
4,1986-07-11,1.8889,2.9722,0.6355,,,
5,1986-07-14,1.8889,1.8611,1.0149,,,
6,1986-07-15,1.8472,1.8403,1.0038,,,
7,1986-07-16,1.8333,1.8125,1.0115,,,
8,1986-07-17,1.8472,1.8264,1.0114,,,
9,1986-07-18,1.8472,1.8472,1.0,,,
10,1986-07-21,1.8194,1.8194,1.0,,,
11,1986-07-22,1.7083,1.6806,1.0165,,,
12,1986-07-23,1.7708,1.75,1.0119,,,
13,1986-07-24,1.75,1.7222,1.0161,,,
14,1986-07-25,1.75,1.7083,1.0244,,,
15,1986-07-28,1.7083,1.6597,1.0293,,,
16,1986-07-29,1.7153,1.6736,1.0249,,,
17,1986-07-30,1.7083,1.7431,0.9801,,,
18,1986-07-31,1.7708,1.8194,0.9733,,,
19,1986-08-01,1.8056,1.8472,0.9774,,,
20,1986-08-04,1.7778,1.8472,0.9624,0.913957143,,
21,1986-08-05,1.8194,1.8472,0.985,0.93177619,,
22,1986-08-06,1.8125,1.8472,0.9812,0.948519048,,
23,1986-08-07,1.8542,1.8472,1.0038,0.9664285709999999,,
24,1986-08-08,1.8472,1.8264,1.0114,0.9845142859999999,,
25,1986-08-11,1.8333,1.8264,1.0038,1.002052381,,
26,1986-08-12,1.8889,1.8889,1.0,1.001342857,,
27,1986-08-13,1.9514,2.0278,0.9623,0.999366667,,
28,1986-08-14,1.9861,2.0972,0.9470000000000001,0.996295238,,
29,1986-08-15,2.0764,2.0903,0.9934,0.995438095,,
30,1986-08-18,2.0486,2.1111,0.9704,0.994028571,,
31,1986-08-19,1.9861,2.0764,0.9565,0.9919571429999999,,
32,1986-08-20,1.9444,2.0486,0.9492,0.988752381,,
33,1986-08-21,1.9514,2.0417,0.9558,0.986080952,,
34,1986-08-22,1.9236,1.9931,0.9652,0.983657143,,
35,1986-08-25,1.9097,1.9583,0.9752,0.9813142859999999,,
36,1986-08-26,1.9028,1.9444,0.9786,0.9789,,
37,1986-08-27,1.8889,1.8889,1.0,0.977714286,,
38,1986-08-28,1.8681,1.8889,0.9890000000000001,0.978138095,,
39,1986-08-29,1.8403,1.875,0.9815,0.9785285709999999,,
40,1986-09-02,1.8333,1.8611,0.9851,0.978895238,,
41,1986-09-03,1.8333,1.8681,0.9814,0.9798,,
42,1986-09-04,1.8333,1.875,0.9778,0.979457143,,
43,1986-09-05,1.8681,1.8889,0.9890000000000001,0.979828571,,
44,1986-09-08,1.8194,1.875,0.9704,0.978238095,,
45,1986-09-09,1.7222,1.75,0.9841,0.976938095,,
46,1986-09-10,1.6806,1.7361,0.968,0.9752333329999999,,
47,1986-09-11,1.6111,1.6528,0.9748,0.974033333,,
48,1986-09-12,1.5972,1.5972,1.0,0.975828571,,
49,1986-09-15,1.5556,1.5417,1.0090000000000001,0.978780952,0.9528399999999999,
50,1986-09-16,1.5556,1.5417,1.0090000000000001,0.97952381,0.9608040000000001,
51,1986-09-17,1.5694,1.5417,1.018,0.9817904759999999,0.968572,
52,1986-09-18,1.5972,1.5833,1.0088,0.984280952,0.976194,
53,1986-09-19,1.6528,1.6667,0.9917,0.9863047620000001,0.9833959999999999,
54,1986-09-22,1.6736,1.7014,0.9837,0.987633333,0.99036,
55,1986-09-23,1.6736,1.7639,0.9488,0.986852381,0.989038,
56,1986-09-24,1.6458,1.7153,0.9595,0.9861047620000001,0.988152,
57,1986-09-25,1.6111,1.6944,0.9508,0.984780952,0.9869379999999999,
58,1986-09-26,1.5556,1.6806,0.9256,0.981238095,0.9852219999999999,
59,1986-09-29,1.5417,1.6389,0.9407,0.978938095,0.984036,
60,1986-09-30,1.5694,1.6528,0.9496,0.977419048,0.983028,
61,1986-10-01,1.5903,1.6458,0.9662,0.976519048,0.982022,
62,1986-10-02,1.6042,1.6458,0.9747,0.9762,0.9812780000000001,
63,1986-10-03,1.5764,1.6458,0.9578,0.975247619,0.9801120000000001,
64,1986-10-06,1.5833,1.625,0.9744,0.974552381,0.9791120000000001,
65,1986-10-07,1.5972,1.6111,0.9914,0.975552381,0.9783540000000001,
66,1986-10-08,1.6042,1.5972,1.0043,0.9765142859999999,0.977942,
67,1986-10-09,1.5833,1.5556,1.0179,0.9788904759999999,0.978698,
68,1986-10-10,1.5278,1.5208,1.0046,0.980309524,0.979324,
69,1986-10-13,1.5139,1.5069,1.0046,0.9805285709999999,0.9798680000000001,
70,1986-10-14,1.5139,1.5139,1.0,0.9801,0.98062,
71,1986-10-15,1.5556,1.5486,1.0045,0.979885714,0.98101,
72,1986-10-16,1.5556,1.5556,1.0,0.979028571,0.9813860000000001,
73,1986-10-17,1.5417,1.5625,0.9867,0.97797619,0.981044,
74,1986-10-20,1.5417,1.5764,0.978,0.97732381,0.980376,
75,1986-10-21,1.5,1.5764,0.9515,0.9757904759999999,0.9793299999999999,
76,1986-10-22,1.5,1.5764,0.9515,0.975919048,0.97836,
77,1986-10-23,1.5069,1.5764,0.9559,0.9757476190000001,0.978232,
78,1986-10-24,1.5278,1.5764,0.9692,0.97662381,0.978676,
79,1986-10-27,1.5417,1.5972,0.9652,0.978509524,0.9781120000000001,
80,1986-10-28,1.5556,1.5556,1.0,0.9813333329999999,0.9787040000000001,
81,1986-10-29,1.5417,1.5556,0.9911,0.983309524,0.9793959999999999,
82,1986-10-30,1.4931,1.5278,0.9773,0.983838095,0.979958,
83,1986-10-31,1.5,1.5278,0.9818,0.98417619,0.9804780000000001,
84,1986-11-03,1.5556,1.5347,1.0136,0.986833333,0.9814459999999999,
85,1986-11-04,1.5278,1.5486,0.9865,0.987409524,0.981672,
86,1986-11-05,1.5417,1.5556,0.9911,0.987395238,0.981922,
87,1986-11-06,1.5417,1.5625,0.9867,0.986557143,0.981656,
88,1986-11-07,1.5347,1.5764,0.9736,0.9844476190000001,0.981348,
89,1986-11-10,1.5139,1.5556,0.9732,0.9829523809999999,0.981182,
90,1986-11-11,1.4861,1.5278,0.9727,0.981433333,0.980934,
91,1986-11-12,1.4306,1.5417,0.9279,0.978,0.979864,
92,1986-11-13,1.3333,1.4792,0.9014,0.973090476,0.9783360000000001,
93,1986-11-14,1.3819,1.4514,0.9522,0.970814286,0.9776,
94,1986-11-17,1.4167,1.4306,0.9903,0.9709857140000001,0.9779979999999999,
95,1986-11-18,1.4306,1.4097,1.0148,0.972738095,0.978612,
96,1986-11-19,1.4236,1.4028,1.0149,0.9757571429999999,0.97955,
97,1986-11-20,1.4167,1.4028,1.0099,0.978538095,0.980252,
98,1986-11-21,1.4028,1.3889,1.01,0.981114286,0.980452,
99,1986-11-24,1.4583,1.4444,1.0096,0.983038095,0.9804639999999999,
100,1986-11-25,1.4514,1.4722,0.9858,0.984019048,0.98,
101,1986-11-26,1.4375,1.4583,0.9857,0.983338095,0.9793540000000001,
102,1986-11-28,1.4444,1.4722,0.9811,0.982861905,0.9788,
103,1986-12-01,1.4306,1.4722,0.9717,0.9825952379999999,0.9784,
104,1986-12-02,1.4028,1.4722,0.9528,0.9812142859999999,0.9777819999999999,
105,1986-12-03,1.4167,1.4722,0.9623,0.978771429,0.978052,
106,1986-12-04,1.4167,1.4722,0.9623,0.977619048,0.978108,
107,1986-12-05,1.3889,1.4583,0.9524,0.97577619,0.97814,
108,1986-12-08,1.375,1.4444,0.9519,0.9741190479999999,0.978666,
109,1986-12-09,1.3194,1.4167,0.9314,0.9721095240000001,0.9784799999999999,
110,1986-12-10,1.2639,1.3333,0.9479,0.970904762,0.9784459999999999,
111,1986-12-11,1.2778,1.3403,0.9534,0.9699857140000001,0.97819,
112,1986-12-12,1.25,1.3472,0.9278,0.969980952,0.977252,
113,1986-12-15,1.2222,1.3333,0.9167,0.9707095240000001,0.9764299999999999,
114,1986-12-16,1.1667,1.2917,0.9032,0.96837619,0.9750059999999999,
115,1986-12-17,1.1528,1.2639,0.9121,0.964652381,0.9734200000000001,
116,1986-12-18,1.1597,1.2292,0.9435,0.961257143,0.9722040000000001,
117,1986-12-19,1.1806,1.2986,0.9091,0.956219048,0.9700280000000001,
118,1986-12-22,1.2014,1.3194,0.9105,0.951485714,0.968146,
119,1986-12-23,1.1736,1.2986,0.9037,0.94642381,0.9661280000000001,0.962754167
120,1986-12-24,1.1875,1.2778,0.9293,0.9426,0.964714,0.965408333
121,1986-12-26,1.1875,1.2778,0.9293,0.939909524,0.96321,0.967905833
122,1986-12-29,1.1667,1.25,0.9333,0.937414286,0.9618760000000001,0.9704524999999999
123,1986-12-30,1.125,1.2361,0.9101,0.934033333,0.9603440000000001,0.972773333
124,1986-12-31,1.1667,1.2639,0.9231,0.9317190479999999,0.9592459999999999,0.9751700000000001
125,1987-01-02,1.1875,1.2917,0.9194,0.9301285709999999,0.9586040000000001,0.974374167
126,1987-01-05,1.2083,1.2917,0.9355,0.9288523809999999,0.958284,0.9738049999999999
127,1987-01-06,1.2153,1.3056,0.9309,0.9273571429999999,0.957784,0.9731333329999999
128,1987-01-07,1.2361,1.3056,0.9468,0.9270904759999999,0.9573360000000001,0.9725950000000001
129,1987-01-08,1.25,1.3611,0.9184,0.925495238,0.9564,0.971915
130,1987-01-09,1.3056,1.3889,0.94,0.925904762,0.9552,0.9714149999999999
131,1987-01-12,1.2847,1.4028,0.9158,0.92437619,0.953694,0.9705758329999999
132,1987-01-13,1.2986,1.3889,0.935,0.9235,0.9528479999999999,0.969935
133,1987-01-14,1.3194,1.4028,0.9406,0.924109524,0.952024,0.969305833
134,1987-01-15,1.3194,1.3889,0.95,0.925695238,0.950752,0.968685833
135,1987-01-16,1.3194,1.375,0.9596,0.928380952,0.9502139999999999,0.9681049999999999
