,Date,HEI US Equity,HEI/A US Equity,HEI US Equity / HEI/A US Equity,SMA_21,SMA_50,SMA_120
0,1998-04-09,4.7794,4.7663,1.0028,,,
1,1998-04-13,4.6612,4.7663,0.978,,,
2,1998-04-14,4.7203,4.7663,0.9904,,,
3,1998-04-15,4.8713,4.7663,1.022,,,
4,1998-04-16,4.8319,4.845,0.9973,,,
5,1998-04-17,4.9107,4.845,1.0136,,,
6,1998-04-20,4.9501,4.845,1.0217,,,
7,1998-04-21,4.7794,4.845,0.9864,,,
8,1998-04-22,4.635,4.845,0.9566,,,
9,1998-04-23,4.5562,4.845,0.9404,,,
10,1998-04-24,4.7466,4.6875,1.0126,,,
11,1998-04-27,4.7269,4.5889999999999995,1.03,,,
12,1998-04-28,4.7859,4.5693,1.0474,,,
13,1998-04-29,4.8647,4.5102,1.0786,,,
14,1998-04-30,4.9829,4.4511,1.1195,,,
15,1998-05-01,5.1405,4.4511,1.1549,,,
16,1998-05-04,5.2586,4.4905,1.1711,,,
17,1998-05-05,5.3177,4.5693,1.1638,,,
18,1998-05-06,5.2192,4.4905,1.1623,,,
19,1998-05-07,5.2192,4.4511,1.1726,,,
20,1998-05-08,5.1897,4.5299,1.1457,1.055604762,,
21,1998-05-11,5.1405,4.5693,1.125,1.06142381,,
22,1998-05-12,5.042,4.5299,1.113,1.067852381,,
23,1998-05-13,4.9632,4.5299,1.0957,1.072866667,,
24,1998-05-14,4.8647,4.3919999999999995,1.1076,1.076942857,,
25,1998-05-15,4.6875,4.3527,1.0769,1.080733333,,
26,1998-05-18,4.6481,4.4117,1.0536,1.082638095,,
27,1998-05-19,4.7761,4.4216,1.0802,1.08542381,,
28,1998-05-20,4.8844,4.6481,1.0508,1.088490476,,
29,1998-05-21,4.9238,4.5299,1.087,1.0947,,
30,1998-05-22,4.9435,4.5299,1.0913,1.101885714,,
31,1998-05-26,4.7663,4.4117,1.0804,1.1051142859999998,,
32,1998-05-27,4.9534,4.3527,1.138,1.110257143,,
33,1998-05-28,4.7269,4.3527,1.0859999999999999,1.112095238,,
34,1998-05-29,4.7859,4.333,1.1045,1.113328571,,
35,1998-06-01,4.7958,4.4117,1.0871,1.111785714,,
36,1998-06-02,4.845,4.4708,1.0837,1.108395238,,
37,1998-06-03,4.7958,4.4905,1.068,1.103485714,,
38,1998-06-04,4.8253,4.5102,1.0699,1.0990142859999998,,
39,1998-06-05,4.8056,4.5102,1.0655,1.094404762,,
40,1998-06-08,4.7269,4.4511,1.0619,1.089133333,,
41,1998-06-09,4.717,4.3723,1.0788,1.0859476190000001,,
42,1998-06-10,4.7269,4.2542,1.1111,1.085285714,,
43,1998-06-11,4.7564,4.333,1.0977,1.084557143,,
44,1998-06-12,4.8253,4.333,1.1136,1.0854095240000001,,
45,1998-06-15,4.845,4.2148,1.1495,1.087404762,,
46,1998-06-16,4.8056,4.1951,1.1455,1.0906714290000001,,
47,1998-06-17,4.7663,4.2148,1.1308,1.094347619,,
48,1998-06-18,4.7663,4.1951,1.1362,1.0970142859999998,,
49,1998-06-19,4.7859,4.1754,1.1462,1.101557143,1.080064,
50,1998-06-22,4.7564,4.1557,1.1445,1.104295238,1.082898,
51,1998-06-23,4.7466,4.136,1.1476,1.10697619,1.08629,
52,1998-06-24,4.6875,4.1754,1.1226,1.1089857140000001,1.088934,
53,1998-06-25,4.6875,4.1754,1.1226,1.108252381,1.090946,
54,1998-06-26,4.6678,4.2542,1.0972,1.1087857140000001,1.0929440000000001,
55,1998-06-29,4.5299,4.1951,1.0798,1.1076095240000001,1.094268,
56,1998-06-30,4.333,4.0375,1.0732,1.106947619,1.0952979999999999,
57,1998-07-01,4.136,3.8209,1.0825,1.106890476,1.09722,
58,1998-07-02,4.2345,3.7815,1.1198,1.109357143,1.100484,
59,1998-07-06,3.9784,3.7815,1.0521,1.108509524,1.102718,
60,1998-07-07,3.6436,3.4664,1.0511,1.10782381,1.103488,
61,1998-07-08,3.6338,3.3482,1.0853,1.108938095,1.104594,
62,1998-07-09,3.88,3.4073,1.1387,1.111790476,1.1064200000000002,
63,1998-07-10,4.0178,3.7224,1.0794,1.110280952,1.106436,
64,1998-07-13,3.8603,3.7224,1.037,1.107390476,1.104786,
65,1998-07-14,3.8603,3.7027,1.0426,1.104009524,1.1025399999999999,
66,1998-07-15,3.88,3.5845,1.0824,1.1008142859999999,1.100766,
67,1998-07-16,3.9784,3.5255,1.1285,1.100004762,1.10006,
68,1998-07-17,4.2936,3.7421,1.1474,1.100795238,1.0997620000000001,
69,1998-07-20,4.6875,4.0572,1.1553,1.101704762,1.099416,
70,1998-07-21,4.7859,4.136,1.1571,1.10222381,1.099644,
71,1998-07-22,4.7859,4.2936,1.1147,1.100804762,1.099438,
72,1998-07-23,4.8056,4.2542,1.1296,1.0999476190000002,1.0997700000000001,
73,1998-07-24,4.8844,4.2542,1.1481,1.101161905,1.100818,
74,1998-07-27,4.7269,4.2542,1.1111,1.1006142859999999,1.1008879999999999,
75,1998-07-28,4.6382,4.1754,1.1108,1.101261905,1.101566,
76,1998-07-29,4.4117,4.0375,1.0927,1.10187619,1.1023479999999999,
77,1998-07-30,4.1163,3.7421,1.1,1.103152381,1.102744,
78,1998-07-31,3.8012,3.7421,1.0158,1.09997619,1.102044,
79,1998-08-03,4.0375,3.7224,1.0847,1.098304762,1.101998,
80,1998-08-04,3.8209,3.7224,1.0265,1.097085714,1.100702,
81,1998-08-05,3.7421,3.5845,1.044,1.096747619,1.099974,
82,1998-08-06,3.88,3.5648,1.0884,1.0968952379999999,1.098982,
83,1998-08-07,4.0178,3.7421,1.0737,1.0938,1.0987360000000002,
84,1998-08-10,3.9784,3.5845,1.1099,1.0952523809999999,1.0988440000000002,
85,1998-08-11,3.7027,3.3088,1.119,1.099157143,1.099482,
86,1998-08-12,3.6830000000000003,3.3482,1.1,1.101890476,1.099808,
87,1998-08-13,3.6633,3.2497,1.1273,1.104028571,1.100994,
88,1998-08-14,3.7027,3.23,1.1463,1.10487619,1.102522,
89,1998-08-17,3.7618,3.1119,1.2089,1.107804762,1.1053899999999999,
90,1998-08-18,3.8898,3.0134,1.2908,1.114257143,1.109968,
91,1998-08-19,3.9391,3.3088,1.1905,1.115847619,1.1122020000000001,
92,1998-08-20,3.9194,3.3482,1.1706,1.118509524,1.113392,
93,1998-08-21,3.7815,3.23,1.1707,1.120466667,1.114852,
94,1998-08-24,3.7421,3.1315,1.195,1.1227,1.11648,
95,1998-08-25,3.6141,3.0134,1.1993,1.1269,1.117476,
96,1998-08-26,3.6633,2.9149,1.2568,1.1338523809999999,1.119702,
97,1998-08-27,3.6042,2.9149,1.2365,1.1407,1.121816,
98,1998-08-28,3.5156,2.8755,1.2226,1.146538095,1.123544,
99,1998-08-31,3.1512,2.4422,1.2903,1.1596095240000002,1.126426,
100,1998-09-01,3.1906,2.2847,1.3966,1.174461905,1.131468,
101,1998-09-02,3.1217,2.3831,1.3099,1.187957143,1.134714,
102,1998-09-03,3.0922,2.4422,1.2661,1.1985333329999999,1.137584,
103,1998-09-04,2.9739999999999998,2.3831,1.2479,1.206128571,1.14009,
104,1998-09-08,3.2497,2.3733,1.3693,1.220204762,1.145532,
105,1998-09-09,3.2596,2.4028,1.3566,1.231952381,1.151068,
106,1998-09-10,3.1414,2.3634,1.3292,1.241961905,1.156188,
107,1998-09-11,3.2694,2.3634,1.3833,1.255452381,1.162204,
108,1998-09-14,3.3088,2.4422,1.3548,1.2662857140000001,1.1669040000000002,
109,1998-09-15,3.0922,2.4225,1.2764,1.272480952,1.17139,
110,1998-09-16,3.0331,2.3634,1.2833,1.27602381,1.176034,
111,1998-09-17,2.9739999999999998,2.2059,1.3482,1.278757143,1.181292,
112,1998-09-18,3.0528,2.1468,1.422,1.289780952,1.186958,
113,1998-09-21,3.0331,2.1468,1.4128,1.301314286,1.193626,
114,1998-09-22,3.0331,2.1468,1.4128,1.3128428570000001,1.201142,
115,1998-09-23,2.9838,2.2059,1.3527,1.320352381,1.207344,
116,1998-09-24,2.8558,2.2059,1.2946,1.324890476,1.2115879999999999,
117,1998-09-25,2.6392,2.0877,1.2642,1.325242857,1.214302,
118,1998-09-28,2.521,1.9892,1.2673,1.326709524,1.2167,
119,1998-09-29,2.5604,2.0483,1.25,1.328014286,1.218594,1.141020833
120,1998-09-30,2.6392,2.0286,1.301,1.32852381,1.221472,1.1435058329999999
121,1998-10-01,2.5111,1.9301,1.301,1.323971429,1.225198,1.1461975
122,1998-10-02,2.521,1.9104,1.3196,1.324433333,1.228998,1.148940833
123,1998-10-05,2.5407,2.0483,1.2404,1.3232095240000001,1.230844,1.1507608329999999
124,1998-10-06,2.5801,2.1074,1.2243,1.322085714,1.233108,1.1526524999999999
125,1998-10-07,2.6195,2.1074,1.2429999999999999,1.316071429,1.235752,1.154564167
126,1998-10-08,2.5604,2.0877,1.2264,1.309871429,1.238426,1.1562700000000001
127,1998-10-09,2.5998,2.1271,1.2222,1.30477619,1.2408700000000001,1.1582350000000001
128,1998-10-12,2.6195,2.1468,1.2202,1.2970095240000001,1.244958,1.1604316670000001
129,1998-10-13,2.6786,2.1468,1.2477,1.291909524,1.248218,1.1629924999999999
130,1998-10-14,2.7179,2.1862,1.2432,1.2903285709999999,1.252552,1.164914167
131,1998-10-15,2.7573,2.2256,1.2389,1.2882142859999999,1.25645,1.166655
132,1998-10-16,2.9247,2.3634,1.2375,1.282942857,1.2594319999999999,1.168239167
133,1998-10-19,3.3088,2.5604,1.2923,1.276766667,1.2638040000000001,1.17002
134,1998-10-20,3.555,2.8657,1.2405,1.268561905,1.266416,1.171028333
135,1998-10-21,3.4171,2.7179,1.2572,1.261152381,1.26918,1.171880833
136,1998-10-22,3.6732,2.9149,1.2601,1.256742857,1.272382,1.1726225000000001
137,1998-10-23,3.7421,3.1512,1.1875,1.251642857,1.273586,1.17282
138,1998-10-26,3.8997,3.1512,1.2375,1.250371429,1.27541,1.173446667
139,1998-10-27,3.7126,3.1315,1.1855,1.24647619,1.274942,1.173554167
140,1998-10-28,3.8997,3.1119,1.2532,1.246628571,1.27419,1.17445
141,1998-10-29,3.88,3.1512,1.2313,1.243309524,1.2750059999999999,1.1753358329999999
142,1998-10-30,3.8997,3.102,1.2571,1.241219048,1.276736,1.176536667
143,1998-11-02,4.3133,3.3285,1.2959,1.240090476,1.27924,1.178205
144,1998-11-03,4.1163,3.2596,1.2628,1.241157143,1.2805959999999998,1.179498333
145,1998-11-04,4.1065,3.1709,1.295,1.24452381,1.28251,1.181315833
146,1998-11-05,4.1655,3.23,1.2896,1.246742857,1.283166,1.1832825
147,1998-11-06,4.1754,3.2497,1.2848,1.24952381,1.284132,1.1849875
148,1998-11-09,4.0277,3.2103,1.2546,1.2510666670000001,1.284772,1.186685833
149,1998-11-10,3.9784,3.2103,1.2393,1.25197619,1.283752,1.1879549999999999
150,1998-11-11,3.7224,3.1315,1.1887,1.2491666670000001,1.2795940000000001,1.188766667
151,1998-11-12,3.6633,3.0725,1.1923,1.246742857,1.277242,1.1896991670000001
152,1998-11-13,3.7815,3.1119,1.2152,1.245614286,1.276224,1.1903424999999999
153,1998-11-16,3.8603,3.2103,1.2025,1.243947619,1.275316,1.1913133329999999
154,1998-11-18,3.9292,3.3285,1.1805,1.23862381,1.27154,1.191946667
155,1998-11-19,3.9981,3.3679,1.1871,1.236080952,1.26815,1.19278
156,1998-11-20,3.8997,3.3088,1.1786,1.232338095,1.2651379999999999,1.1935708329999999
157,1998-11-23,3.88,3.3088,1.1726,1.228171429,1.260924,1.1944424999999999
158,1998-11-24,3.7126,3.23,1.1494,1.226357143,1.256816,1.1951049999999999
