,Date,MKC/V US Equity,MKC US Equity,MKC/V US Equity / MKC US Equity,SMA_21,SMA_50,SMA_120
0,1994-04-04,10.0,10.125,0.9877,,,
1,1994-04-05,10.0,10.625,0.9412,,,
2,1994-04-06,10.375,10.375,1.0,,,
3,1994-04-07,10.375,10.25,1.0122,,,
4,1994-04-08,10.375,10.5,0.9881,,,
5,1994-04-11,10.25,10.375,0.988,,,
6,1994-04-12,10.25,10.375,0.988,,,
7,1994-04-13,10.25,10.125,1.0123,,,
8,1994-04-14,10.0,10.0,1.0,,,
9,1994-04-15,10.0,10.25,0.9756,,,
10,1994-04-18,10.0,10.25,0.9756,,,
11,1994-04-19,10.0,10.375,0.9639,,,
12,1994-04-20,10.25,10.4375,0.982,,,
13,1994-04-21,10.25,10.375,0.988,,,
14,1994-04-22,10.25,10.5,0.9762,,,
15,1994-04-25,10.25,10.625,0.9647,,,
16,1994-04-26,10.25,10.375,0.988,,,
17,1994-04-28,10.25,10.375,0.988,,,
18,1994-04-29,10.125,10.25,0.9878,,,
19,1994-05-02,10.125,10.375,0.9759,,,
20,1994-05-03,10.25,10.2813,0.997,0.984771429,,
21,1994-05-04,10.375,10.625,0.9765,0.984238095,,
22,1994-05-05,10.375,10.75,0.9651,0.98537619,,
23,1994-05-06,10.625,10.625,1.0,0.98537619,,
24,1994-05-09,10.5,10.625,0.9882,0.9842333329999999,,
25,1994-05-10,10.5,10.4375,1.006,0.9850857140000001,,
26,1994-05-11,10.125,10.375,0.9759,0.984509524,,
27,1994-05-12,10.125,10.625,0.9529,0.982838095,,
28,1994-05-13,10.375,10.5,0.9881,0.981685714,,
29,1994-05-16,10.5,10.625,0.9882,0.98112381,,
30,1994-05-17,10.5,10.75,0.9767,0.98117619,,
31,1994-05-18,10.5,10.875,0.9655,0.980695238,,
32,1994-05-19,10.75,11.375,0.9451,0.9798,,
33,1994-05-20,10.75,10.75,1.0,0.980657143,,
34,1994-05-23,10.1875,10.4063,0.9790000000000001,0.9802285709999999,,
35,1994-05-24,10.5,10.75,0.9767,0.9802523809999999,,
36,1994-05-25,10.375,10.5625,0.9822,0.9810857140000001,,
37,1994-05-26,10.4375,10.75,0.9709,0.9802714290000001,,
38,1994-05-27,10.4375,10.4375,1.0,0.9808428570000001,,
39,1994-05-31,10.4375,10.4063,1.003,0.9815666670000001,,
40,1994-06-01,10.4375,10.625,0.9824,0.98187619,,
41,1994-06-02,10.5,10.8125,0.9711,0.980642857,,
42,1994-06-03,10.5,10.8125,0.9711,0.9803857140000001,,
43,1994-06-06,10.625,10.875,0.977,0.9809523809999999,,
44,1994-06-07,10.625,10.5625,1.0059,0.9812333329999999,,
45,1994-06-08,10.625,10.5,1.0119,0.982361905,,
46,1994-06-09,10.625,10.5,1.0119,0.982642857,,
