,Date,UAA US Equity,UA US Equity,UAA US Equity / UA US Equity,SMA_21,SMA_50,SMA_120
0,2016-03-23,42.8138,41.2075,1.0390000000000001,,,
1,2016-03-24,42.4419,40.582,1.0458,,,
2,2016-03-28,42.8448,40.582,1.0558,,,
3,2016-03-29,43.1392,40.582,1.063,,,
4,2016-03-30,44.2395,41.70399999999999,1.0608,,,
5,2016-03-31,43.8211,41.426,1.0578,,,
6,2016-04-01,43.754,40.8004,1.0724,,,
7,2016-04-04,43.0721,40.4628,1.0645,,,
8,2016-04-05,43.1547,40.8004,1.0577,,,
9,2016-04-06,44.3428,41.5054,1.0684,,,
10,2016-04-07,44.41,41.2671,1.0762,,,
11,2016-04-08,43.54,43.7097,0.9961,,,
12,2016-04-11,41.15,41.1678,0.9996,,,
13,2016-04-12,41.4,41.3565,1.0011,,,
14,2016-04-13,42.96,41.5054,1.035,,,
15,2016-04-14,43.48,41.9324,1.0369,,,
16,2016-04-15,43.08,41.70399999999999,1.033,,,
17,2016-04-18,43.71,42.121,1.0377,,,
18,2016-04-19,43.95,42.6969,1.0293,,,
19,2016-04-20,43.95,42.4586,1.0351,,,
20,2016-04-21,46.93,45.4077,1.0335,1.042795238,,
21,2016-04-22,46.99,44.7424,1.0502,1.043328571,,
22,2016-04-25,46.59,43.9481,1.0601,1.044009524,,
23,2016-04-26,46.75,43.6402,1.0713,1.044747619,,
24,2016-04-27,44.8,41.8629,1.0702,1.045090476,,
25,2016-04-28,44.66,41.5948,1.0737,1.045704762,,
26,2016-04-29,43.94,40.5124,1.0846,1.046980952,,
27,2016-05-02,43.74,39.9862,1.0939,1.048004762,,
28,2016-05-03,42.73,39.8372,1.0726,1.048390476,,
29,2016-05-04,39.51,37.1265,1.0642,1.0487,,
30,2016-05-05,39.75,37.2258,1.0678,1.048671429,,
31,2016-05-06,38.7,36.1236,1.0713,1.048438095,,
32,2016-05-09,38.7,36.0541,1.0734,1.052119048,,
33,2016-05-10,39.08,36.2924,1.0768,1.055795238,,
34,2016-05-11,37.38,34.9817,1.0686,1.0590095240000001,,
35,2016-05-12,37.66,34.942,1.0778,1.061047619,,
36,2016-05-13,37.15,34.4654,1.0779,1.063,,
37,2016-05-16,37.12,34.2966,1.0823,1.065347619,,
38,2016-05-17,36.89,34.2271,1.0778,1.067257143,,
39,2016-05-18,36.57,33.9788,1.0763,1.069495238,,
40,2016-05-19,37.44,34.6044,1.0819,1.07172381,,
41,2016-05-20,37.89,35.3292,1.0725,1.073580952,,
42,2016-05-23,37.27,34.5845,1.0776,1.074885714,,
43,2016-05-24,38.22,35.3292,1.0818,1.075919048,,
44,2016-05-25,38.31,35.2299,1.0874,1.0766857140000001,,
45,2016-05-26,37.76,34.6739,1.089,1.077580952,,
46,2016-05-27,37.92,34.8129,1.0893,1.07832381,,
47,2016-05-31,37.73,34.7235,1.0866,1.078419048,,
48,2016-06-01,36.25,33.4823,1.0827,1.077885714,,
49,2016-06-02,36.56,33.9788,1.0759999999999998,1.0780476190000001,1.062286,
50,2016-06-03,36.4,33.9192,1.0731,1.0784714290000001,1.0629680000000001,
51,2016-06-06,36.81,34.1576,1.0777,1.078942857,1.063606,
52,2016-06-07,37.77,34.9519,1.0806,1.079385714,1.064102,
53,2016-06-08,39.04,36.1832,1.079,1.079652381,1.064422,
54,2016-06-09,38.66,35.8853,1.0773,1.07967619,1.0647520000000001,
55,2016-06-10,38.38,35.5378,1.08,1.080219048,1.0651959999999998,
56,2016-06-13,37.45,34.68,1.0799,1.080319048,1.065346,
57,2016-06-14,37.19,34.4,1.0811,1.0804714290000001,1.0656780000000001,
58,2016-06-15,37.76,34.77,1.0859999999999999,1.080647619,1.066244,
59,2016-06-16,36.42,33.48,1.0878,1.08112381,1.066632,
60,2016-06-17,37.22,34.14,1.0902,1.081785714,1.066912,
61,2016-06-20,38.11,34.77,1.0961,1.082461905,1.068912,
62,2016-06-21,38.36,34.92,1.0985,1.0837,1.07089,
63,2016-06-22,37.69,34.32,1.0982,1.084680952,1.072832,
64,2016-06-23,38.32,34.67,1.1053,1.0858,1.074238,
65,2016-06-24,37.38,33.5,1.1158,1.087152381,1.0758159999999999,
66,2016-06-27,35.92,31.9,1.126,1.0889142859999998,1.077676,
67,2016-06-28,37.52,33.9,1.1068,1.0897476190000002,1.079058,
68,2016-06-29,39.75,35.91,1.1069,1.0907142859999999,1.08061,
69,2016-06-30,40.13,36.4,1.1025,1.091657143,1.081958,
70,2016-07-01,40.43,36.84,1.0974,1.09267619,1.083236,
71,2016-07-05,39.2,35.51,1.1039,1.094142857,1.08431,
72,2016-07-06,39.85,36.26,1.099,1.095157143,1.0850879999999998,
73,2016-07-07,40.52,36.88,1.0987,1.096019048,1.085636,
74,2016-07-08,40.43,36.78,1.0992,1.096980952,1.086216,
75,2016-07-11,40.3,36.57,1.102,1.098157143,1.086782,
76,2016-07-12,41.8,37.87,1.1038,1.099290476,1.087166,
77,2016-07-13,41.51,37.22,1.1153,1.10097619,1.087594,
78,2016-07-14,41.54,37.02,1.1221,1.1029285709999999,1.088584,
79,2016-07-15,41.68,37.23,1.1195,1.10452381,1.08969,
80,2016-07-18,41.69,37.2,1.1207,1.1060904759999999,1.090748,
81,2016-07-19,41.92,36.95,1.1345,1.1082,1.092012,
82,2016-07-20,42.16,36.79,1.146,1.11057619,1.093464,
83,2016-07-21,42.64,37.27,1.1441,1.112747619,1.09481,
84,2016-07-22,42.85,37.48,1.1433,1.114895238,1.0963040000000002,
