,Date,ZG US Equity,Z US Equity,ZG US Equity / Z US Equity,SMA_21,SMA_50,SMA_120
0,2015-08-03,23.8559,27.74,0.86,,,
1,2015-08-04,23.1387,25.8,0.8968,,,
2,2015-08-05,22.5836,25.24,0.8948,,,
3,2015-08-06,23.7,26.95,0.8794,,,
4,2015-08-07,23.2385,26.5,0.8769,,,
5,2015-08-10,23.3632,26.14,0.8938,,,
6,2015-08-11,22.7083,25.38,0.8947,,,
7,2015-08-12,23.2291,25.99,0.8938,,,
8,2015-08-13,23.3757,26.2,0.8922,,,
9,2015-08-14,22.83,25.19,0.9063,,,
10,2015-08-17,25.55,24.8,1.0302,,,
11,2015-08-18,27.01,26.06,1.0365,,,
12,2015-08-19,26.62,26.77,0.9944,,,
13,2015-08-20,25.33,25.17,1.0064,,,
14,2015-08-21,25.15,25.18,0.9988,,,
15,2015-08-24,24.6,24.37,1.0094,,,
16,2015-08-25,24.84,24.6,1.0098,,,
17,2015-08-26,25.57,25.0,1.0228,,,
18,2015-08-27,25.88,25.16,1.0286,,,
19,2015-08-28,25.72,24.86,1.0346,,,
20,2015-08-31,25.38,24.66,1.0292,0.956638095,,
21,2015-09-01,25.37,24.43,1.0385,0.965138095,,
22,2015-09-02,26.41,25.32,1.043,0.9721,,
23,2015-09-03,26.71,25.51,1.047,0.9793476190000001,,
24,2015-09-04,26.15,25.07,1.0431,0.987142857,,
25,2015-09-08,26.22,25.24,1.0388,0.994852381,,
26,2015-09-09,25.57,25.07,1.0199,1.000857143,,
27,2015-09-10,26.31,25.45,1.0338,1.007480952,,
28,2015-09-11,27.14,25.87,1.0491,1.01487619,,
29,2015-09-14,26.61,26.12,1.0188,1.020904762,,
30,2015-09-15,27.77,27.65,1.0043,1.025571429,,
31,2015-09-16,28.15,27.45,1.0255,1.0253476190000002,,
32,2015-09-17,28.41,27.91,1.0179,1.024461905,,
33,2015-09-18,29.18,28.07,1.0395,1.0266095240000002,,
34,2015-09-21,28.14,27.36,1.0285,1.027661905,,
35,2015-09-22,28.07,27.26,1.0297,1.0291333329999999,,
36,2015-09-23,28.37,27.49,1.032,1.030209524,,
37,2015-09-24,27.84,27.26,1.0213,1.030757143,,
38,2015-09-25,28.42,27.9,1.0186,1.030557143,,
39,2015-09-28,28.23,27.58,1.0236,1.030319048,,
40,2015-09-29,28.75,27.5,1.0455,1.030838095,,
41,2015-09-30,28.73,27.0,1.0641,1.0325,,
42,2015-10-01,27.68,26.11,1.0601,1.033528571,,
43,2015-10-02,28.58,26.56,1.0761,1.035104762,,
44,2015-10-05,28.99,27.12,1.069,1.036152381,,
45,2015-10-06,29.52,28.55,1.034,1.035719048,,
46,2015-10-07,31.28,29.99,1.043,1.035919048,,
47,2015-10-08,32.74,31.6,1.0361,1.036690476,,
48,2015-10-09,34.89,33.45,1.043,1.037128571,,
49,2015-10-12,34.54,32.0,1.0794,1.038571429,1.0042520000000001,
50,2015-10-13,34.46,31.65,1.0888,1.041904762,1.008828,
51,2015-10-14,33.7,31.87,1.0574,1.044433333,1.01204,
52,2015-10-15,33.63,31.15,1.0796,1.0470095240000001,1.015736,
53,2015-10-16,32.94,30.45,1.0818,1.050052381,1.019784,
54,2015-10-19,33.13,30.66,1.0806,1.052009524,1.023858,
55,2015-10-20,33.64,31.16,1.0796,1.054442857,1.027574,
56,2015-10-21,32.78,29.89,1.0967,1.057633333,1.031614,
57,2015-10-22,33.16,29.95,1.1072,1.061214286,1.035882,
58,2015-10-23,32.9,29.99,1.097,1.064819048,1.039978,
59,2015-10-26,32.69,29.43,1.1108,1.0692095240000001,1.044068,
60,2015-10-27,31.46,28.46,1.1054,1.073104762,1.045572,
61,2015-10-28,31.14,28.23,1.1031,1.0758476190000001,1.046904,
62,2015-10-29,30.52,27.57,1.107,1.0778904759999999,1.049156,
63,2015-10-30,30.81,27.69,1.1127,1.080395238,1.051282,
64,2015-11-02,30.87,28.46,1.0847,1.080804762,1.053,
65,2015-11-03,30.99,29.5,1.0505,1.07992381,1.053822,
66,2015-11-04,28.83,27.65,1.0427,1.080338095,1.0544799999999999,
67,2015-11-05,28.26,25.79,1.0958,1.082852381,1.0559399999999999,
68,2015-11-06,27.92,25.48,1.0958,1.085695238,1.0572840000000001,
69,2015-11-09,27.74,25.3,1.0964,1.088238095,1.0585200000000001,
70,2015-11-10,27.13,24.4,1.1119,1.089785714,1.060174,
71,2015-11-11,26.74,24.36,1.0977,1.090209524,1.061358,
72,2015-11-12,26.16,23.79,1.0996,1.092219048,1.06249,
73,2015-11-13,25.27,23.27,1.0859,1.092519048,1.063268,
74,2015-11-16,25.61,23.73,1.0792,1.092395238,1.06399,
75,2015-11-17,26.19,24.71,1.0599,1.0914095240000001,1.0644120000000001,
76,2015-11-18,26.79,25.28,1.0597,1.090461905,1.065208,
77,2015-11-19,26.45,25.23,1.0484,1.088161905,1.0655,
78,2015-11-20,26.48,25.29,1.0471,1.0853,1.06546,
79,2015-11-23,25.9,24.48,1.058,1.083442857,1.066244,
