,Date,BF/A US Equity,BF/B US Equity,BF/A US Equity / BF/B US Equity,SMA_21,SMA_50,SMA_120
0,1988-03-10,1.6178,1.6489,0.9811,,,
1,1988-03-11,1.6356,1.6533,0.9892,,,
2,1988-03-14,1.6356,1.6533,0.9892,,,
3,1988-03-15,1.6356,1.6622,0.9840000000000001,,,
4,1988-03-16,1.6489,1.68,0.9815,,,
5,1988-03-17,1.6667,1.6933,0.9843,,,
6,1988-03-18,1.6622,1.6844,0.9868,,,
7,1988-03-21,1.6667,1.6756,0.9947,,,
8,1988-03-22,1.6711,1.68,0.9947,,,
9,1988-03-23,1.6756,1.68,0.9974,,,
10,1988-03-24,1.6889,1.6889,1.0,,,
11,1988-03-25,1.6978,1.6978,1.0,,,
12,1988-03-28,1.6444,1.6578,0.992,,,
13,1988-03-29,1.6267,1.6222,1.0027,,,
14,1988-03-30,1.6089,1.5867,1.014,,,
15,1988-03-31,1.5956,1.6044,0.9945,,,
16,1988-04-04,1.5822,1.6089,0.9834,,,
17,1988-04-05,1.5822,1.6178,0.978,,,
18,1988-04-06,1.6444,1.7067,0.9635,,,
19,1988-04-07,1.6711,1.72,0.9716,,,
20,1988-04-08,1.68,1.7422,0.9643,0.987947619,,
21,1988-04-11,1.6933,1.7867,0.9478,0.986361905,,
22,1988-04-12,1.7067,1.7956,0.9505,0.984519048,,
23,1988-04-13,1.7067,1.8044,0.9458,0.982452381,,
24,1988-04-14,1.7067,1.7556,0.9722,0.9818904759999999,,
25,1988-04-15,1.6889,1.7111,0.987,0.9821523809999999,,
26,1988-04-18,1.6667,1.7111,0.9740000000000001,0.981661905,,
27,1988-04-19,1.6667,1.7067,0.9766,0.98117619,,
28,1988-04-20,1.6667,1.7067,0.9766,0.9803142859999999,,
29,1988-04-21,1.6533,1.7067,0.9688,0.979080952,,
30,1988-04-22,1.6622,1.7244,0.9639,0.9774857140000001,,
31,1988-04-25,1.6622,1.7289,0.9614,0.9756476190000001,,
32,1988-04-26,1.6622,1.72,0.9664,0.974047619,,
33,1988-04-27,1.6622,1.7111,0.9714,0.973066667,,
