,Date,CRD/A US Equity,CRD/B US Equity,CRD/A US Equity / CRD/B US Equity,SMA_21,SMA_50,SMA_120
0,1990-08-02,10.5,10.6667,0.9844,,,
1,1990-08-03,10.4167,11.0,0.9470000000000001,,,
2,1990-08-06,10.0,10.8333,0.9231,,,
3,1990-08-07,9.8333,11.0,0.8939,,,
4,1990-08-08,9.3333,10.8333,0.8615,,,
5,1990-08-09,9.3333,10.9167,0.855,,,
6,1990-08-10,9.3333,11.5,0.8116,,,
7,1990-08-13,9.8333,11.8333,0.831,,,
8,1990-08-14,9.6667,12.0,0.8056,,,
9,1990-08-15,10.8333,11.3333,0.9559,,,
10,1990-08-16,10.75,11.1667,0.9627,,,
11,1990-08-17,10.3333,10.5833,0.9764,,,
12,1990-08-20,10.3333,10.25,1.0081,,,
13,1990-08-21,9.6667,9.8333,0.9831,,,
14,1990-08-22,9.5,9.6667,0.9828,,,
15,1990-08-23,9.1667,9.3333,0.9821,,,
16,1990-08-24,9.3333,9.5,0.9825,,,
17,1990-08-27,9.5,9.6667,0.9828,,,
18,1990-08-28,9.5,9.8333,0.9661,,,
19,1990-08-29,9.0,9.5,0.9474,,,
20,1990-08-30,9.0,9.5,0.9474,0.93287619,,
21,1990-08-31,8.5833,9.3333,0.9196,0.929790476,,
22,1990-09-04,8.4167,9.0833,0.9266,0.9288190479999999,,
23,1990-09-05,8.5833,9.3333,0.9196,0.9286523809999999,,
24,1990-09-06,8.5,9.25,0.9189,0.929842857,,
25,1990-09-07,8.25,8.6667,0.9519,0.9341476190000001,,
26,1990-09-10,7.9167,8.1667,0.9694,0.939595238,,
27,1990-09-11,7.5,7.75,0.9677,0.9470285709999999,,
28,1990-09-12,7.75,7.8333,0.9894,0.954571429,,
29,1990-09-13,7.6667,8.0,0.9583,0.961842857,,
30,1990-09-14,7.8333,8.1667,0.9592,0.9620000000000001,,
31,1990-09-17,7.9167,8.1667,0.9694,0.962319048,,
32,1990-09-18,7.75,7.9167,0.9789,0.962438095,,
33,1990-09-19,7.75,8.0,0.9688,0.960566667,,
34,1990-09-20,7.6667,8.0,0.9583,0.9593857140000001,,
35,1990-09-21,7.8333,7.6667,1.0217,0.961238095,,
36,1990-09-24,7.75,7.75,1.0,0.962090476,,
37,1990-09-25,7.5,8.0,0.9375,0.959947619,,
38,1990-09-26,7.5,7.9167,0.9474,0.958261905,,
39,1990-09-27,7.5833,7.9167,0.9579,0.9578714290000001,,
40,1990-09-28,7.5,8.1667,0.9184,0.9564904759999999,,
41,1990-10-01,7.75,8.1667,0.9490000000000001,0.956566667,,
42,1990-10-02,7.5833,7.9167,0.9579,0.9583904759999999,,
43,1990-10-03,7.3333,7.5833,0.9670000000000001,0.9603142859999999,,
44,1990-10-04,7.4167,7.75,0.9570000000000001,0.962095238,,
45,1990-10-05,7.4167,8.0,0.9271,0.962485714,,
46,1990-10-08,7.6667,7.8333,0.9787,0.963761905,,
47,1990-10-09,7.6667,7.5,1.0222,0.96627619,,
48,1990-10-10,7.25,7.1667,1.0116,0.9683666670000001,,
49,1990-10-11,7.0833,7.0,1.0119,0.969438095,0.950234,
50,1990-10-12,6.6667,7.1667,0.9302,0.9681,0.94915,
51,1990-10-15,6.8333,7.0833,0.9647,0.968361905,0.9495040000000001,
52,1990-10-16,6.6667,7.0833,0.9412,0.9670190479999999,0.949866,
53,1990-10-17,6.6667,6.9167,0.9639,0.966304762,0.951266,
54,1990-10-18,7.5833,7.6667,0.9891,0.9672714290000001,0.953818,
55,1990-10-19,7.8333,7.9167,0.9895,0.9687571429999999,0.956508,
56,1990-10-22,7.8333,7.9167,0.9895,0.96722381,0.960066,
57,1990-10-23,8.0833,8.0833,1.0,0.96722381,0.9634459999999999,
58,1990-10-24,8.0,8.0,1.0,0.9702,0.967334,
59,1990-10-25,8.0,7.8333,1.0213,0.973719048,0.968642,
60,1990-10-26,7.75,7.8333,0.9894,0.9752190479999999,0.969176,
61,1990-10-29,7.9167,8.0,0.9896,0.978609524,0.96944,
62,1990-10-30,8.0,8.0,1.0,0.981038095,0.9692780000000001,
63,1990-10-31,8.0417,7.9167,1.0158,0.983795238,0.969932,
64,1990-11-01,8.25,8.0,1.0313,0.9868571429999999,0.970902,
65,1990-11-02,8.1667,8.1667,1.0,0.988904762,0.97126,
66,1990-11-05,8.0,8.25,0.9697,0.990933333,0.9710040000000001,
67,1990-11-06,8.3333,8.3333,1.0,0.9919476190000001,0.971348,
68,1990-11-07,8.5,8.4167,1.0099,0.991361905,0.972224,
69,1990-11-08,8.5,8.25,1.0303,0.9922523809999999,0.973882,
70,1990-11-09,8.9167,8.6667,1.0288,0.9930571429999999,0.97551,
71,1990-11-12,9.0,9.0,1.0,0.996380952,0.977118,
72,1990-11-13,9.3333,9.0833,1.0275,0.9993714290000001,0.979136,
73,1990-11-14,9.5,9.1667,1.0364,1.0039047620000001,0.9814719999999999,
74,1990-11-15,9.1667,9.1667,1.0,1.00562381,0.983094,
75,1990-11-16,9.1667,9.0833,1.0092,1.006580952,0.98424,
76,1990-11-19,9.25,9.0833,1.0183,1.007952381,0.985218,
77,1990-11-20,9.3333,9.0,1.037,1.0102142859999999,0.986604,
78,1990-11-21,9.3333,9.3333,1.0,1.0102142859999999,0.986816,
79,1990-11-23,9.3333,9.25,1.0090000000000001,1.0106428570000001,0.9878299999999999,
80,1990-11-26,9.5,9.1667,1.0364,1.011361905,0.989374,
81,1990-11-27,9.4167,9.3333,1.0089,1.012290476,0.9901639999999999,
82,1990-11-28,9.4167,9.5,0.9912,1.012366667,0.99041,
83,1990-11-29,9.75,9.5833,1.0174,1.013195238,0.991382,
84,1990-11-30,10.1667,9.4167,1.0796,1.016233333,0.993808,
85,1990-12-03,10.3333,9.6667,1.069,1.0180285709999999,0.9947540000000001,
86,1990-12-04,10.3333,9.6667,1.069,1.021314286,0.996134,
87,1990-12-05,10.6667,9.75,1.094,1.0272333329999999,0.9992639999999999,
88,1990-12-06,10.8333,10.5833,1.0236,1.028357143,1.000788,
89,1990-12-07,11.3333,10.6667,1.0625,1.030861905,1.00288,
90,1990-12-10,12.0,11.25,1.0667,1.0325952379999999,1.005846,
91,1990-12-11,11.1667,10.9167,1.0229,1.0323142859999999,1.0073239999999999,
92,1990-12-12,11.3333,11.0,1.0303,1.0337571429999999,1.008772,
93,1990-12-13,11.5,10.9167,1.0534,1.034990476,1.0105,
94,1990-12-14,11.3333,10.6667,1.0625,1.036233333,1.01261,
95,1990-12-17,11.5,10.8333,1.0615,1.039161905,1.015298,
