,Date,GOOGL US Equity,GOOG US Equity,GOOGL US Equity / GOOG US Equity,SMA_21,SMA_50,SMA_120
0,2014-03-27,557.68,556.931,1.0013,,,
1,2014-03-28,560.618,558.456,1.0039,,,
2,2014-03-31,557.795,555.445,1.0042,,,
3,2014-04-01,567.995,565.607,1.0042,,,
4,2014-04-02,568.1,565.447,1.0047,,,
5,2014-04-03,571.5,568.18,1.0058,,,
6,2014-04-04,545.25,541.653,1.0066,,,
7,2014-04-07,540.63,536.6759999999999,1.0074,,,
8,2014-04-08,557.51,553.38,1.0075,,,
9,2014-04-09,567.04,562.595,1.0079,,,
10,2014-04-10,546.69,539.469,1.0134,,,
11,2014-04-11,537.76,529.1469999999999,1.0163,,,
12,2014-04-14,545.2,531.062,1.0266,,,
13,2014-04-15,548.7,534.971,1.0257,,,
14,2014-04-16,563.9,555.016,1.016,,,
15,2014-04-17,543.34,534.632,1.0163,,,
16,2014-04-21,539.37,527.172,1.0231,,,
17,2014-04-22,545.5,533.345,1.0228,,,
18,2014-04-23,537.51,525.497,1.0229,,,
19,2014-04-24,534.44,523.722,1.0205,,,
20,2014-04-25,523.1,514.766,1.0162,1.013014286,,
21,2014-04-28,522.98,515.734,1.0141,1.01362381,,
22,2014-04-29,536.33,526.255,1.0191,1.014347619,,
23,2014-04-30,534.88,525.2180000000001,1.0184,1.01502381,,
24,2014-05-01,538.53,529.895,1.0163,1.0156,,
25,2014-05-02,533.87,526.484,1.014,1.016042857,,
26,2014-05-05,535.33,526.365,1.0170000000000001,1.01657619,,
27,2014-05-06,522.57,513.729,1.0172,1.017080952,,
28,2014-05-07,518.0,508.56300000000005,1.0186,1.017614286,,
29,2014-05-08,520.17,509.601,1.0207,1.018242857,,
30,2014-05-09,526.62,517.309,1.018,1.01872381,,
31,2014-05-12,538.43,528.469,1.0188,1.018980952,,
32,2014-05-13,541.54,531.63,1.0186,1.019090476,,
33,2014-05-14,534.41,525.2080000000001,1.0175,1.018657143,,
34,2014-05-15,529.12,518.556,1.0204,1.018404762,,
35,2014-05-16,528.3,519.2040000000001,1.0175,1.01847619,,
36,2014-05-19,538.83,527.4119999999999,1.0216,1.018728571,,
37,2014-05-20,540.39,528.319,1.0228,1.018714286,,
38,2014-05-21,549.7,537.464,1.0228,1.018714286,,
39,2014-05-22,555.45,543.567,1.0219,1.018666667,,
40,2014-05-23,563.8,551.186,1.0229,1.018780952,,
41,2014-05-27,574.87,564.4,1.0186,1.018895238,,
42,2014-05-28,570.45,560.1419999999999,1.0184,1.0191,,
43,2014-05-29,570.56,558.5459999999999,1.0215,1.019214286,,
44,2014-05-30,571.65,558.357,1.0238,1.019471429,,
45,2014-06-02,564.34,552.413,1.0216,1.01972381,,
46,2014-06-03,554.51,543.448,1.0204,1.0200285709999999,,
47,2014-06-04,553.76,543.168,1.0195,1.020147619,,
48,2014-06-05,564.93,552.383,1.0227,1.020409524,,
49,2014-06-06,566.03,554.807,1.0202,1.020485714,1.016764,
50,2014-06-09,570.73,560.581,1.0181,1.020361905,1.0171,
51,2014-06-10,568.3,559.015,1.0166,1.0202952379999999,1.017354,
52,2014-06-11,567.5,557.31,1.0183,1.0202714290000001,1.017636,
53,2014-06-12,559.5,549.84,1.0176,1.02022381,1.0179040000000001,
54,2014-06-13,560.35,550.249,1.0184,1.020266667,1.018178,
55,2014-06-16,552.3,542.789,1.0175,1.0201285709999999,1.018412,
56,2014-06-17,550.615,541.523,1.0168,1.020095238,1.018616,
57,2014-06-18,560.66,551.855,1.016,1.019828571,1.018788,
58,2014-06-19,564.99,553.38,1.021,1.019742857,1.019058,
59,2014-06-20,566.52,554.836,1.0211,1.019661905,1.0193219999999998,
60,2014-06-23,574.29,563.403,1.0193,1.019538095,1.01944,
61,2014-06-24,572.54,563.0740000000001,1.0168,1.0192476190000002,1.01945,
62,2014-06-25,585.93,577.065,1.0154,1.019095238,1.019226,
63,2014-06-26,584.77,574.423,1.018,1.01907619,1.019072,
64,2014-06-27,585.69,575.659,1.0174,1.018880952,1.0191,
65,2014-06-30,584.67,573.705,1.0191,1.018657143,1.019156,
66,2014-07-01,591.49,581.0740000000001,1.0179,1.018480952,1.019052,
67,2014-07-02,590.78,580.74,1.0173,1.018333333,1.018942,
68,2014-07-03,593.08,583.129,1.0171,1.018219048,1.018826,
69,2014-07-07,590.76,580.656,1.0174,1.017966667,1.018764,
70,2014-07-08,578.4,569.526,1.0156,1.017747619,1.018752,
71,2014-07-09,583.36,574.502,1.0154,1.017619048,1.018778,
72,2014-07-10,580.04,569.536,1.0184,1.017704762,1.018764,
73,2014-07-11,586.65,577.594,1.0157,1.017580952,1.01871,
74,2014-07-14,594.26,583.268,1.0188,1.017638095,1.01876,
75,2014-07-15,593.06,583.179,1.0169,1.017566667,1.018818,
76,2014-07-16,590.62,581.064,1.0164,1.017514286,1.0188059999999999,
77,2014-07-17,580.82,572.159,1.0151,1.017433333,1.018764,
78,2014-07-18,605.11,593.45,1.0196,1.017604762,1.018784,
79,2014-07-21,598.44,587.856,1.018,1.017461905,1.01873,
80,2014-07-22,603.57,593.111,1.0176,1.017295238,1.018722,
81,2014-07-23,605.19,594.3480000000001,1.0182,1.017242857,1.01871,
82,2014-07-24,603.01,591.725,1.0191,1.017352381,1.01872,
83,2014-07-25,598.08,587.4069999999999,1.0182,1.017485714,1.018734,
84,2014-07-28,599.02,588.9830000000001,1.0170000000000001,1.017438095,1.018666,
85,2014-07-29,593.95,584.006,1.0170000000000001,1.017419048,1.018656,
86,2014-07-30,595.44,585.811,1.0164,1.0172904759999999,1.0185520000000001,
87,2014-07-31,579.55,570.035,1.0167,1.017233333,1.01843,
88,2014-08-01,573.6,564.52,1.0161,1.01717619,1.0182959999999999,
89,2014-08-04,582.27,571.58,1.0187,1.017252381,1.018232,
90,2014-08-05,573.14,563.523,1.0171,1.017238095,1.018116,
91,2014-08-06,574.49,564.823,1.0171,1.017309524,1.018086,
92,2014-08-07,571.81,561.817,1.0178,1.01742381,1.018074,
93,2014-08-08,577.94,567.212,1.0189,1.0174476190000001,1.018022,
94,2014-08-11,577.25,566.325,1.0193,1.017619048,1.017932,
95,2014-08-12,572.12,561.189,1.0195,1.017652381,1.01789,
96,2014-08-13,584.56,573.206,1.0198,1.0177904759999998,1.017878,
97,2014-08-14,584.65,573.076,1.0202,1.0179714290000001,1.017892,
98,2014-08-15,583.71,571.91,1.0206,1.018233333,1.01785,
99,2014-08-18,592.7,580.566,1.0209,1.0182952379999999,1.0178639999999999,
100,2014-08-19,597.11,585.253,1.0203,1.018404762,1.017908,
101,2014-08-20,595.41,582.889,1.0215,1.018590476,1.018006,
102,2014-08-21,592.42,581.7719999999999,1.0183,1.018595238,1.018006,
103,2014-08-22,592.54,580.965,1.0199,1.018633333,1.018052,
104,2014-08-25,590.57,578.611,1.0207,1.0187523809999999,1.018098,
105,2014-08-26,588.12,576.278,1.0205,1.0189190479999999,1.018158,
106,2014-08-27,583.0,569.436,1.0238,1.019242857,1.018298,
107,2014-08-28,580.32,567.641,1.0223,1.01952381,1.018424,
108,2014-08-29,582.36,570.035,1.0216,1.0197571429999999,1.0184360000000001,
109,2014-09-02,588.63,575.749,1.0224,1.020057143,1.018462,
110,2014-09-03,589.52,576.357,1.0228,1.020252381,1.018532,
111,2014-09-04,593.14,580.386,1.022,1.020485714,1.018636,
112,2014-09-05,597.78,584.475,1.0228,1.020757143,1.018784,
113,2014-09-08,601.63,588.105,1.023,1.021004762,1.0188840000000001,
114,2014-09-09,591.97,579.419,1.0217,1.021138095,1.0189700000000002,
115,2014-09-10,593.42,581.503,1.0205,1.021195238,1.0189979999999998,
116,2014-09-11,591.11,579.758,1.0196,1.0212,1.019032,
117,2014-09-12,584.9,574.044,1.0189,1.021157143,1.019064,
118,2014-09-15,581.64,571.531,1.0177,1.021038095,1.019076,
119,2014-09-16,588.78,578.362,1.018,1.020914286,1.019088,1.017914167
120,2014-09-17,593.29,583.169,1.0174,1.020747619,1.019124,1.0180483329999999
121,2014-09-18,597.27,587.656,1.0164,1.020561905,1.019144,1.0181525
122,2014-09-19,605.4,594.448,1.0184,1.0204142859999998,1.019144,1.0182708329999999
123,2014-09-22,597.27,585.761,1.0196,1.02047619,1.0192219999999999,1.018399167
124,2014-09-23,591.18,579.539,1.0201,1.020485714,1.019248,1.0185275
125,2014-09-24,598.42,586.38,1.0205,1.02047619,1.01932,1.01865
126,2014-09-25,585.25,573.485,1.0205,1.02047619,1.0194020000000001,1.018765833
127,2014-09-26,587.9,575.52,1.0215,1.020366667,1.0195299999999998,1.018883333
128,2014-09-29,587.81,574.7819999999999,1.0227,1.020385714,1.019592,1.01901
129,2014-09-30,588.41,575.779,1.0219,1.0204,1.01967,1.019126667
130,2014-10-01,579.63,566.714,1.0228,1.020419048,1.019774,1.019205
131,2014-10-02,580.88,568.519,1.0217,1.020366667,1.019844,1.01925
132,2014-10-03,586.25,573.705,1.0219,1.020361905,1.0199,1.019210833
133,2014-10-06,587.78,575.769,1.0209,1.0202714290000001,1.019954,1.019170833
134,2014-10-07,574.1,562.196,1.0212,1.0201857140000001,1.020038,1.0192141670000001
135,2014-10-08,583.74,570.932,1.0224,1.020219048,1.020146,1.0192649999999999
136,2014-10-09,570.81,559.344,1.0205,1.020219048,1.0202280000000001,1.019243333
137,2014-10-10,555.19,542.999,1.0225,1.020357143,1.0203440000000001,1.019240833
138,2014-10-13,544.75,531.75,1.0244,1.020619048,1.02051,1.019253333
139,2014-10-14,548.69,536.467,1.0228,1.020861905,1.020592,1.0192725
140,2014-10-15,540.73,528.5790000000001,1.023,1.0211,1.02071,1.019329167
141,2014-10-16,536.92,523.0740000000001,1.0265,1.021533333,1.0208979999999999,1.0194325
142,2014-10-17,522.97,509.77,1.0259,1.0219857140000002,1.02106,1.0194891670000001
143,2014-10-20,532.38,519.414,1.025,1.0223,1.021182,1.019544167
144,2014-10-21,538.03,525.0980000000001,1.0246,1.022538095,1.021288,1.019613333
145,2014-10-22,542.69,531.251,1.0215,1.022604762,1.021328,1.019675833
146,2014-10-23,553.65,542.49,1.0206,1.0226095240000002,1.021344,1.019705833
147,2014-10-24,548.9,538.302,1.0197,1.022571429,1.021334,1.019726667
148,2014-10-27,549.88,539.289,1.0196,1.022480952,1.0213139999999998,1.019735
149,2014-10-28,558.94,547.3969999999999,1.0211,1.022404762,1.021318,1.019738333
150,2014-10-29,558.45,547.826,1.0194,1.0222857140000001,1.0213,1.01975
151,2014-10-30,560.27,548.803,1.0209,1.022195238,1.021288,1.0197675
152,2014-10-31,567.87,557.549,1.0185,1.022042857,1.021292,1.019766667
153,2014-11-03,563.77,553.7,1.0182,1.021866667,1.021258,1.0197725
154,2014-11-04,564.19,552.5930000000001,1.021,1.0218714290000002,1.021264,1.0197775
155,2014-11-05,555.95,544.425,1.0212,1.0218714290000002,1.0212780000000001,1.019808333
156,2014-11-06,551.69,540.556,1.0206,1.021785714,1.0212139999999998,1.0198
157,2014-11-07,551.82,539.528,1.0228,1.021895238,1.021224,1.0198
158,2014-11-10,558.23,545.991,1.0224,1.021890476,1.02124,1.019796667
159,2014-11-11,561.29,548.783,1.0228,1.021814286,1.021248,1.019804167
160,2014-11-12,558.25,545.811,1.0228,1.021814286,1.021248,1.019803333
161,2014-11-13,556.44,543.886,1.0231,1.021819048,1.0212700000000001,1.019840833
162,2014-11-14,555.19,542.909,1.0226,1.021633333,1.021266,1.019875833
163,2014-11-17,546.64,535.0409999999999,1.0217,1.021433333,1.02124,1.0198775
164,2014-11-18,544.51,533.565,1.0205,1.021219048,1.021216,1.01985
