,Date,JW/A US Equity,JW/B US Equity,JW/A US Equity / JW/B US Equity,SMA_21,SMA_50,SMA_120
0,1989-12-01,3.5938,3.5938,1.0,,,
1,1989-12-04,3.5625,3.5625,1.0,,,
2,1989-12-05,3.6875,3.6875,1.0,,,
3,1989-12-06,3.6875,3.6875,1.0,,,
4,1989-12-07,3.6875,3.5625,1.0351,,,
5,1989-12-08,3.5625,3.5625,1.0,,,
6,1989-12-11,3.3438,3.3438,1.0,,,
7,1989-12-12,3.4219,3.4375,0.9955,,,
8,1989-12-13,3.4375,3.4375,1.0,,,
9,1989-12-14,3.375,3.375,1.0,,,
10,1989-12-15,3.3594,3.3594,1.0,,,
11,1989-12-18,3.3438,3.3438,1.0,,,
12,1989-12-19,3.3438,3.3438,1.0,,,
13,1989-12-20,3.4375,3.4375,1.0,,,
14,1989-12-21,3.4375,3.4375,1.0,,,
15,1989-12-22,3.4375,3.4375,1.0,,,
16,1989-12-28,3.2656,3.2656,1.0,,,
17,1989-12-29,3.3125,3.3125,1.0,,,
18,1990-01-02,3.3125,3.3125,1.0,,,
19,1990-01-03,3.25,3.3125,0.9811,,,
20,1990-01-04,3.3438,3.3125,1.0094,1.001004762,,
21,1990-01-05,3.25,3.3125,0.9811,1.000104762,,
22,1990-01-08,3.3438,3.3125,1.0094,1.0005523809999999,,
23,1990-01-09,3.25,3.3125,0.9811,0.999652381,,
24,1990-01-10,3.3359,3.3125,1.0071,0.9999904759999999,,
25,1990-01-11,3.2813,3.3125,0.9906,0.997871429,,
26,1990-01-12,3.2813,3.3125,0.9906,0.99742381,,
27,1990-01-15,3.3438,3.3125,1.0094,0.997871429,,
28,1990-01-16,3.3438,3.3125,1.0094,0.998533333,,
29,1990-01-17,3.3438,3.3125,1.0094,0.998980952,,
30,1990-01-18,3.25,3.3125,0.9811,0.998080952,,
31,1990-01-19,3.25,3.3125,0.9811,0.997180952,,
32,1990-01-22,3.25,3.3125,0.9811,0.996280952,,
33,1990-01-23,3.25,3.3125,0.9811,0.995380952,,
34,1990-01-24,3.0625,3.3125,0.9245,0.991785714,,
35,1990-01-25,3.0625,3.3125,0.9245,0.988190476,,
36,1990-01-26,3.1875,3.3125,0.9623,0.986395238,,
37,1990-01-29,3.0625,3.3125,0.9245,0.9828,,
38,1990-01-30,3.0625,3.3125,0.9245,0.9792047620000001,,
39,1990-01-31,3.0625,3.3125,0.9245,0.975609524,,
40,1990-02-01,2.875,3.3125,0.8679,0.9702190479999999,,
41,1990-02-02,2.7188,3.3125,0.8208,0.961238095,,
42,1990-02-05,2.375,3.3125,0.7170000000000001,0.948661905,,
43,1990-02-06,2.5313,3.3125,0.7642,0.9369857140000001,,
44,1990-02-07,2.4219,3.3125,0.7311,0.9250809520000001,,
45,1990-02-08,2.5313,3.3125,0.7642,0.913514286,,
46,1990-02-09,2.4375,3.3125,0.7358,0.901380952,,
47,1990-02-13,2.4609,3.3125,0.7429,0.8895857140000001,,
48,1990-02-14,2.4375,3.3125,0.7358,0.876557143,,
49,1990-02-15,2.75,3.3125,0.8302,0.86802381,0.944566,
50,1990-02-16,2.8438,3.3125,0.8585,0.860838095,0.941736,
51,1990-02-20,2.8438,3.3125,0.8585,0.855,0.9389059999999999,
52,1990-02-21,2.6875,3.3125,0.8113,0.846914286,0.935132,
53,1990-02-22,2.6875,3.3125,0.8113,0.838828571,0.931358,
54,1990-02-23,2.5781,3.3125,0.7783,0.8291714290000001,0.926222,
55,1990-02-26,2.4531,3.3125,0.7406,0.820414286,0.921034,
56,1990-02-27,2.5625,3.3125,0.7736,0.8132285709999999,0.9165059999999999,
57,1990-02-28,2.5313,3.3125,0.7642,0.803795238,0.9118799999999999,
58,1990-03-01,2.5,3.3125,0.7547,0.7957095240000001,0.906974,
59,1990-03-02,2.5,3.3125,0.7547,0.78762381,0.902068,
60,1990-03-05,2.5938,3.3125,0.7829999999999999,0.7808857140000001,0.8977280000000001,
61,1990-03-06,2.5,3.3125,0.7547,0.775495238,0.8928219999999999,
62,1990-03-08,2.5625,3.3125,0.7736,0.773247619,0.888294,
63,1990-03-09,2.5625,3.3125,0.7736,0.775942857,0.8837659999999999,
64,1990-03-13,2.375,3.3125,0.7170000000000001,0.773695238,0.8781059999999999,
65,1990-03-14,2.4063,3.3125,0.7264,0.7734714290000001,0.872634,
66,1990-03-15,2.4688,3.3125,0.7453,0.7725714290000001,0.86754,
67,1990-03-16,2.4688,3.3125,0.7453,0.77302381,0.8624459999999999,
68,1990-03-19,2.4688,3.3125,0.7453,0.773138095,0.857352,
69,1990-03-20,2.4688,3.3125,0.7453,0.773590476,0.8526360000000001,
70,1990-03-21,2.4063,3.3125,0.7264,0.768647619,0.8469760000000001,
71,1990-03-22,2.4688,3.3125,0.7453,0.7632571429999999,0.84226,
72,1990-03-23,2.4688,3.3125,0.7453,0.757866667,0.8369780000000001,
73,1990-03-26,2.4688,3.3125,0.7453,0.75472381,0.8322620000000001,
74,1990-03-27,2.4375,3.3125,0.7358,0.751128571,0.826836,
75,1990-03-28,2.4688,3.3125,0.7453,0.749557143,0.8219299999999999,
76,1990-03-29,2.4688,3.3125,0.7453,0.7497809520000001,0.817024,
77,1990-03-30,2.4375,3.3125,0.7358,0.747980952,0.811552,
78,1990-04-02,2.4688,3.3125,0.7453,0.747080952,0.8062699999999999,
79,1990-04-03,2.4688,3.3125,0.7453,0.746633333,0.800988,
80,1990-04-04,2.4688,3.3125,0.7453,0.7461857140000001,0.796272,
81,1990-04-05,2.4531,3.3125,0.7406,0.744166667,0.791462,
82,1990-04-09,2.4375,3.3125,0.7358,0.743266667,0.786556,
83,1990-04-10,2.4375,3.3125,0.7358,0.7414666670000001,0.78165,
84,1990-04-11,2.4375,3.3125,0.7358,0.739666667,0.777876,
85,1990-04-12,2.4688,3.3125,0.7453,0.741014286,0.774292,
86,1990-04-16,2.4375,3.3125,0.7358,0.741461905,0.769762,
87,1990-04-17,2.4375,3.3125,0.7358,0.7410095240000001,0.765988,
88,1990-04-18,2.4375,3.3125,0.7358,0.740557143,0.7622140000000001,
89,1990-04-20,2.4375,3.3125,0.7358,0.7401047620000001,0.75844,
90,1990-04-23,2.4375,3.3125,0.7358,0.739652381,0.755798,
91,1990-04-24,2.4375,3.3125,0.7358,0.7401,0.7540979999999999,
92,1990-04-27,2.4375,3.3125,0.7358,0.7396476190000001,0.754474,
93,1990-04-30,2.4688,3.3125,0.7453,0.7396476190000001,0.754096,
94,1990-05-01,2.4375,3.3125,0.7358,0.739195238,0.7541899999999999,
95,1990-05-02,2.4375,3.3125,0.7358,0.739195238,0.753622,
96,1990-05-03,2.4688,3.3125,0.7453,0.739195238,0.753812,
97,1990-05-04,2.4688,3.3125,0.7453,0.739195238,0.7538600000000001,
98,1990-05-07,2.5938,3.3125,0.7829999999999999,0.741442857,0.754804,
99,1990-05-08,2.5938,3.3125,0.7829999999999999,0.743238095,0.7538600000000001,
100,1990-05-09,2.5313,3.3125,0.7642,0.744138095,0.751974,
101,1990-05-10,2.5625,3.3125,0.7736,0.7454857140000001,0.750276,
102,1990-05-14,2.5313,3.3125,0.7642,0.746609524,0.7493340000000001,
103,1990-05-17,2.5938,3.3125,0.7829999999999999,0.748857143,0.748768,
104,1990-05-18,2.5938,3.3125,0.7829999999999999,0.751104762,0.748862,
105,1990-05-21,2.5938,3.3125,0.7829999999999999,0.7533523809999999,0.74971,
106,1990-05-22,2.5625,3.3125,0.7736,0.7547,0.74971,
107,1990-05-23,2.6563,3.3125,0.8019,0.7578476190000001,0.750464,
108,1990-05-24,2.5938,3.3125,0.7829999999999999,0.760095238,0.75103,
109,1990-05-25,2.6641,3.3125,0.8042,0.7633523809999999,0.75202,
110,1990-05-29,2.6875,3.3125,0.8113,0.7669476190000001,0.752586,
111,1990-05-30,2.9688,3.3125,0.8962,0.7745857140000001,0.755416,
112,1990-05-31,2.9688,3.3125,0.8962,0.78222381,0.757868,
113,1990-06-01,2.9688,3.3125,0.8962,0.789861905,0.76032,
114,1990-06-04,3.0313,3.3125,0.9151,0.7979476190000001,0.764282,
115,1990-06-05,3.0,3.3125,0.9057,0.806038095,0.767868,
116,1990-06-06,3.0,3.3125,0.9057,0.8141285709999999,0.771076,
117,1990-06-08,3.0,3.3125,0.9057,0.821766667,0.774284,
