,Date,TAP/A US Equity,TAP US Equity,TAP/A US Equity / TAP US Equity,SMA_21,SMA_50,SMA_120
0,2005-02-09,36.925,36.75,1.0048,,,
1,2005-02-10,36.925,35.825,1.0307,,,
2,2005-02-11,36.925,36.55,1.0103,,,
3,2005-02-14,36.925,35.25,1.0475,,,
4,2005-02-15,36.925,35.25,1.0475,,,
5,2005-02-16,36.925,35.775,1.0321,,,
6,2005-02-17,36.925,35.35,1.0446,,,
7,2005-02-18,36.925,35.09,1.0523,,,
8,2005-02-22,34.995,34.095,1.0264,,,
9,2005-02-23,34.995,33.865,1.0334,,,
10,2005-02-24,34.995,34.21,1.0229,,,
11,2005-02-25,34.995,34.365,1.0183,,,
12,2005-02-28,34.995,34.765,1.0066,,,
13,2005-03-01,34.25,34.25,1.0,,,
14,2005-03-02,34.435,34.95,0.9853,,,
15,2005-03-03,35.625,35.64,0.9996,,,
16,2005-03-04,35.625,35.825,0.9944,,,
17,2005-03-07,35.625,35.94,0.9912,,,
18,2005-03-08,36.25,36.96,0.9808,,,
19,2005-03-09,36.25,36.725,0.9871,,,
20,2005-03-10,36.25,37.25,0.9732,1.013761905,,
21,2005-03-11,37.125,37.075,1.0013,1.013595238,,
22,2005-03-14,37.125,37.08,1.0012,1.012190476,,
23,2005-03-15,37.125,37.125,1.0,1.0117,,
24,2005-03-16,37.125,37.13,0.9999,1.009433333,,
25,2005-03-17,37.125,37.355,0.9938,1.00687619,,
26,2005-03-18,37.125,37.95,0.9783,1.0043142859999998,,
27,2005-03-21,37.875,37.66,1.0057,1.002461905,,
28,2005-03-22,37.875,37.285,1.0158,1.00072381,,
29,2005-03-23,37.875,37.485,1.0104,0.999961905,,
30,2005-03-24,37.5,37.45,1.0013,0.9984333329999999,,
31,2005-03-28,38.495,38.535,0.9990000000000001,0.997295238,,
32,2005-03-29,38.495,38.45,1.0012,0.996480952,,
33,2005-03-30,38.495,39.02,0.9865,0.99552381,,
34,2005-03-31,38.495,38.585,0.9977,0.9954142859999999,,
35,2005-04-01,38.495,38.985,0.9874,0.9955142859999999,,
36,2005-04-04,38.495,38.905,0.9895,0.995033333,,
37,2005-04-05,39.375,39.46,0.9978,0.995195238,,
38,2005-04-06,39.375,38.91,1.012,0.9961857140000001,,
39,2005-04-07,39.375,39.75,0.9906,0.996652381,,
40,2005-04-08,39.375,39.495,0.997,0.99712381,,
