,Date,PTVCA US Equity,PTVCB US Equity,PTVCA US Equity / PTVCB US Equity,SMA_21,SMA_50,SMA_120
0,1986-05-29,28.9333,6.6667,4.34,,,
1,1986-06-03,28.8,5.8667,4.9091,,,
2,1986-06-05,28.8,5.8667,4.9091,,,
3,1986-06-10,28.8,5.0,5.76,,,
4,1986-06-11,28.5333,5.0,5.7067,,,
5,1986-06-12,5.6,5.0,1.12,,,
6,1986-06-18,6.1333,5.0,1.2267,,,
7,1986-06-19,6.1333,5.2,1.1795,,,
8,1986-06-23,6.1333,4.5333,1.3529,,,
9,1986-06-24,6.1333,4.5333,1.3529,,,
10,1986-06-25,6.1333,4.5333,1.3529,,,
11,1986-06-26,6.1333,5.3333,1.15,,,
12,1986-06-27,6.1333,5.3667,1.1429,,,
13,1986-07-01,6.4,6.4,1.0,,,
14,1986-07-02,6.9333,6.5333,1.0612,,,
15,1986-07-03,7.3333,6.8,1.0784,,,
16,1986-07-07,7.3333,6.8,1.0784,,,
17,1986-07-08,6.5333,6.2667,1.0426,,,
18,1986-07-09,7.3333,6.8,1.0784,,,
19,1986-07-10,7.3333,6.8,1.0784,,,
20,1986-07-11,7.3333,6.8,1.0784,2.095166667,,
21,1986-07-14,7.3333,6.9333,1.0577,1.9388666669999999,,
22,1986-07-15,7.3333,6.6667,1.1,1.7574809519999999,,
23,1986-07-17,7.3333,6.6667,1.1,1.5760952380000002,,
24,1986-07-18,7.3333,6.8,1.0784,1.353161905,,
25,1986-07-21,7.3333,6.8,1.0784,1.132766667,,
26,1986-07-22,6.5333,6.0,1.0889,1.131285714,,
27,1986-07-23,6.5333,6.2667,1.0426,1.122519048,,
28,1986-07-24,6.2667,5.8333,1.0743,1.1175095240000001,,
29,1986-07-25,6.2667,5.9667,1.0503,1.1031,,
30,1986-07-28,6.2667,5.9333,1.0562,1.088971429,,
31,1986-07-29,7.2,5.9,1.2203,1.082657143,,
32,1986-07-30,7.4667,6.0,1.2444,1.087152381,,
33,1986-07-31,6.6667,6.4,1.0417,1.082333333,,
34,1986-08-01,6.6667,6.5333,1.0204,1.083304762,,
35,1986-08-04,6.6667,6.4,1.0417,1.08237619,,
36,1986-08-05,8.5333,6.6667,1.28,1.09197619,,
37,1986-08-06,7.7333,6.6333,1.1658,1.096138095,,
38,1986-08-07,7.7333,6.6667,1.16,1.101728571,,
39,1986-08-08,6.5333,6.5333,1.0,1.097995238,,
40,1986-08-11,6.5333,6.5667,0.9949,1.094019048,,
41,1986-08-12,6.4,6.5333,0.9796,1.089314286,,
42,1986-08-13,6.4,6.5667,0.9746,1.085357143,,
43,1986-08-14,8.5333,6.9333,1.2308,1.091585714,,
44,1986-08-15,8.5333,7.0,1.219,1.0972523809999999,,
45,1986-08-18,6.4,7.2,0.8889,1.088228571,,
46,1986-08-19,8.0,7.4,1.0811,1.0883571429999999,,
47,1986-08-20,8.0,7.4667,1.0714,1.08752381,,
48,1986-08-21,8.0,7.2,1.1111,1.0907857140000001,,
49,1986-08-22,8.0,7.2,1.1111,1.092538095,1.511242,
50,1986-08-25,8.0,7.2333,1.1059999999999999,1.095190476,1.4465620000000001,
51,1986-08-26,6.4,7.2,0.8889,1.08722381,1.366158,
52,1986-08-27,8.5333,7.2667,1.1743,1.085033333,1.291462,
53,1986-08-28,8.5333,7.2,1.1852,1.082214286,1.199966,
54,1986-08-29,8.5333,7.2333,1.1797,1.0887857140000001,1.109426,
55,1986-09-02,8.5333,7.2333,1.1797,1.096371429,1.1106200000000002,
56,1986-09-03,6.4,7.2667,0.8807,1.088704762,1.1037,
57,1986-09-04,6.6667,7.2667,0.9174,1.071438095,1.098458,
58,1986-09-05,6.6667,7.2,0.9259,1.060014286,1.089918,
59,1986-09-08,6.5333,7.0,0.9333,1.0492190479999999,1.081526,
60,1986-09-09,6.5333,7.0,0.9333,1.046042857,1.073134,
61,1986-09-10,6.5333,6.8667,0.9515,1.04397619,1.069164,
62,1986-09-11,6.4,6.6667,0.96,1.043042857,1.0655059999999998,
63,1986-09-12,6.4,6.5333,0.9796,1.043280952,1.0650979999999999,
64,1986-09-15,6.4,6.5667,0.9746,1.031080952,1.063366,
65,1986-09-16,6.9333,6.6333,1.0452,1.022804762,1.062702,
66,1986-09-17,6.9333,6.5667,1.0558,1.0307523809999999,1.06225,
67,1986-09-18,6.9333,6.6,1.0505,1.029295238,1.062408,
68,1986-09-19,6.9333,6.6333,1.0452,1.028047619,1.061744,
69,1986-09-22,6.9333,6.5667,1.0558,1.025414286,1.061292,
70,1986-09-23,6.9333,6.8333,1.0146,1.020819048,1.060016,
71,1986-09-24,6.9333,6.8,1.0196,1.016704762,1.0592540000000001,
72,1986-09-25,6.9333,6.6667,1.04,1.0239,1.058054,
73,1986-09-26,6.4,6.6667,0.96,1.013695238,1.0552540000000001,
74,1986-09-29,6.4,6.6333,0.9648,1.0032,1.0529819999999999,
75,1986-09-30,7.2,6.7,1.0746,0.998195238,1.052906,
76,1986-10-01,7.2,6.7333,1.0693,0.992938095,1.052514,
77,1986-10-02,7.4667,6.7667,1.1034,1.003542857,1.0537299999999998,
78,1986-10-03,6.4,6.7667,0.9458,1.004895238,1.05116,
79,1986-10-06,6.4,6.8,0.9412,1.00562381,1.048978,
80,1986-10-07,6.4,6.8,0.9412,1.006,1.046678,
81,1986-10-08,7.7333,6.9,1.1208,1.014928571,1.0446879999999998,
82,1986-10-09,7.0667,6.9333,1.0192,1.018152381,1.040184,
83,1986-10-10,7.2,6.9333,1.0385,1.021890476,1.0401200000000002,
84,1986-10-14,7.2,6.9667,1.0335,1.024457143,1.040382,
85,1986-10-15,7.2,6.9333,1.0385,1.0275,1.040318,
86,1986-10-16,7.2,6.9333,1.0385,1.027180952,1.035488,
87,1986-10-17,7.2,7.0333,1.0237,1.025652381,1.032646,
88,1986-10-20,7.2,6.8667,1.0485,1.025557143,1.030416,
89,1986-10-21,7.2,6.8,1.0588,1.026204762,1.031592,
90,1986-10-22,7.2,6.7667,1.064,1.026595238,1.032974,
91,1986-10-23,8.5333,6.8,1.2549,1.038038095,1.0384799999999998,
92,1986-10-24,8.2667,6.8,1.2157,1.04737619,1.043302,
93,1986-10-27,8.2667,6.8667,1.2039,1.055180952,1.042764,
94,1986-10-28,8.5333,6.8667,1.2427,1.068642857,1.0432379999999999,
95,1986-10-29,8.5333,6.8667,1.2427,1.08187619,1.050314,
96,1986-10-30,6.9333,6.8,1.0196,1.079257143,1.049084,
97,1986-10-31,7.0667,6.6667,1.06,1.0788142859999998,1.048856,
98,1986-11-03,7.0667,6.6667,1.06,1.076747619,1.047834,
99,1986-11-04,7.0667,6.7667,1.0443,1.081438095,1.046498,
100,1986-11-05,7.0667,6.6,1.0707,1.087604762,1.045792,
101,1986-11-06,7.0667,6.5333,1.0816,1.0942904759999998,1.0496459999999999,
102,1986-11-07,6.9333,6.4667,1.0722,1.09197619,1.047604,
103,1986-11-10,7.0667,6.4667,1.0928,1.095480952,1.045756,
104,1986-11-11,6.8667,6.5667,1.0457,1.09582381,1.0430760000000001,
105,1986-11-12,6.8667,6.4,1.0729,1.0977,1.04094,
106,1986-11-13,6.9667,6.2,1.1237,1.101757143,1.0458,
107,1986-11-14,6.9667,6.2667,1.1117,1.1052428570000001,1.0496860000000001,
108,1986-11-17,6.4,6.0667,1.0549,1.1067285709999999,1.052266,
109,1986-11-18,6.5333,6.0,1.0889,1.108652381,1.0553780000000001,
110,1986-11-19,6.4,5.9,1.0847,1.109885714,1.058406,
111,1986-11-20,5.8667,6.0667,0.9670000000000001,1.105266667,1.058716,
112,1986-11-21,5.8667,6.0,0.9778,1.092071429,1.059072,
113,1986-11-24,5.8667,5.9333,0.9888,1.081266667,1.059256,
114,1986-11-25,5.8667,5.8,1.0115,1.072104762,1.059994,
115,1986-11-26,5.8667,5.8,1.0115,1.061095238,1.05932,
116,1986-11-28,5.8667,5.9333,0.9888,1.049004762,1.05798,
117,1986-12-01,5.8667,5.9333,0.9888,1.047538095,1.056746,
118,1986-12-02,5.8667,6.0,0.9778,1.04362381,1.055398,
119,1986-12-03,6.1333,5.9667,1.0279,1.042095238,1.05484,1.2393891670000001
120,1986-12-04,5.7,5.9667,0.9553,1.0378571429999999,1.053654,1.211183333
121,1986-12-05,5.8667,5.9333,0.9888,1.033957143,1.053038,1.1785141670000001
122,1986-12-08,5.6,5.9333,0.9438,1.027395238,1.0511139999999999,1.14547
123,1986-12-09,5.6,5.8667,0.9545,1.0217904759999998,1.051004,1.105424167
124,1986-12-10,5.6,5.9,0.9492,1.0149523809999998,1.050692,1.065778333
125,1986-12-11,5.3333,5.8,0.9195,1.008942857,1.04759,1.0641075
126,1986-12-12,5.3333,5.7667,0.9249,1.001895238,1.044702,1.0615925
127,1986-12-15,5.3333,5.8,0.9195,0.9921714290000001,1.041024,1.059425833
128,1986-12-16,5.3333,5.8,0.9195,0.983019048,1.040498,1.055814167
129,1986-12-17,5.4667,5.7,0.9591,0.978457143,1.040856,1.0525325
130,1986-12-18,5.4667,5.7,0.9591,0.97227619,1.0412139999999999,1.0492508329999999
131,1986-12-19,5.3333,5.8,0.9195,0.964409524,1.037188,1.0473299999999999
132,1986-12-22,5.9,5.8,1.0172,0.9668,1.037148,1.0462825
133,1986-12-23,5.9,5.8,1.0172,0.96867619,1.036722,1.046425833
134,1986-12-24,5.9,5.7667,1.0231,0.970309524,1.036514,1.046108333
135,1986-12-26,6.4,5.7333,1.1163,0.9753,1.03807,1.046424167
136,1986-12-29,5.3333,5.7333,0.9302,0.9714285709999999,1.0359040000000002,1.045189167
137,1986-12-30,5.3333,5.7333,0.9302,0.968638095,1.0340340000000001,1.0442525
138,1986-12-31,5.8667,5.7333,1.0233,0.970280952,1.0335299999999998,1.043793333
139,1987-01-02,6.6667,5.9,1.1299,0.97752381,1.034952,1.0442225
140,1987-01-05,6.6667,6.0,1.1111,0.9814857140000001,1.035894,1.0444950000000002
141,1987-01-06,6.6667,6.2333,1.0695,0.98692381,1.032186,1.044593333
142,1987-01-07,6.6667,6.3,1.0582,0.990228571,1.029036,1.044245
143,1987-01-08,6.6667,6.2333,1.0695,0.996214286,1.026348,1.043990833
144,1987-01-09,6.6667,6.2667,1.0638,1.001419048,1.0227700000000002,1.043869167
145,1987-01-12,7.2,6.6,1.0909,1.008166667,1.019734,1.043973333
146,1987-01-13,6.9333,6.5667,1.0558,1.014657143,1.020458,1.0436975
147,1987-01-14,6.9333,6.6333,1.0452,1.020385714,1.020162,1.0437191670000001
148,1987-01-15,6.9333,6.7333,1.0297,1.025633333,1.019556,1.0433475
149,1987-01-16,6.1333,6.7333,0.9109,1.02522381,1.016888,1.042185833
150,1987-01-19,6.1333,6.6667,0.92,1.023361905,1.013874,1.041050833
151,1987-01-20,6.9333,6.4667,1.0722,1.028747619,1.013686,1.039816667
152,1987-01-21,6.9333,6.3667,1.089,1.036819048,1.014022,1.038521667
153,1987-01-22,6.9333,6.3,1.1005,1.040785714,1.014176,1.039011667
154,1987-01-23,5.8667,6.3,0.9312,1.036690476,1.011886,1.038268333
155,1987-01-26,5.8667,6.1667,0.9514,1.03327619,1.009456,1.037515833
156,1987-01-27,5.8667,6.1667,0.9514,1.02542381,1.00601,1.0347775
157,1987-01-28,5.8667,6.1667,0.9514,1.026433333,1.002804,1.032990833
158,1987-01-29,5.8667,6.1333,0.9565,1.027685714,1.000836,1.031295
159,1987-01-30,5.8667,5.9333,0.9888,1.026042857,0.998834,1.031201667
160,1987-02-02,6.4,6.0,1.0667,1.0230333329999999,0.998474,1.0318
161,1987-02-03,6.4,5.9333,1.0787,1.0214904759999999,1.000708,1.032625833
162,1987-02-04,6.4,5.8333,1.0971,1.022804762,1.0030940000000002,1.033646667
163,1987-02-05,6.4,5.8667,1.0909,1.024361905,1.005136,1.032480833
164,1987-02-06,6.4,5.8667,1.0909,1.0253809520000001,1.006724,1.031413333
165,1987-02-09,6.4,5.8667,1.0909,1.026671429,1.008312,1.0330966670000001
166,1987-02-10,6.4,5.7333,1.1163,1.027880952,1.0108620000000001,1.03339
167,1987-02-11,5.3333,5.6333,0.9467,1.022685714,1.0100200000000001,1.032350833
168,1987-02-12,5.3333,5.5667,0.9581,1.018538095,1.009626,1.031075833
169,1987-02-13,5.3333,5.6,0.9524,1.014857143,1.008116,1.029753333
170,1987-02-17,5.3333,5.7,0.9357,1.016038095,1.007724,1.0283341670000001
171,1987-02-18,5.0667,5.7667,0.8786,1.014066667,1.00552,1.028248333
172,1987-02-19,5.0667,5.8,0.8736,1.0046095240000001,1.004116,1.0257425
173,1987-02-20,5.0667,5.8333,0.8686,0.994114286,1.002398,1.023104167
174,1987-02-23,5.0667,5.8,0.8736,0.983309524,1.0008860000000002,1.020553333
175,1987-02-24,5.7333,5.7,1.0058,0.986861905,1.002612,1.019104167
176,1987-02-25,5.7333,5.8,0.9885,0.9886285709999999,1.003884,1.0200025
177,1987-02-26,5.7333,5.7333,1.0,0.9909428570000001,1.005494,1.020690833
178,1987-02-27,5.6,5.8,0.9655,0.9916142859999999,1.006414,1.021020833
179,1987-03-02,6.1333,5.8,1.0575,0.99642381,1.008382,1.022055833
180,1987-03-03,6.1333,5.7333,1.0698,1.000280952,1.0105959999999998,1.023193333
