,Date,SENEA US Equity,SENEB US Equity,SENEA US Equity / SENEB US Equity,SMA_21,SMA_50,SMA_120
0,1995-09-26,20.0,20.0,1.0,,,
1,1995-09-29,19.5,21.0,0.9286,,,
2,1995-10-05,19.5,19.5,1.0,,,
3,1995-10-06,19.5,19.75,0.9873,,,
4,1995-10-09,19.5,21.0,0.9286,,,
5,1995-10-10,19.5,21.25,0.9176,,,
6,1995-10-11,19.5,19.75,0.9873,,,
7,1995-10-12,19.75,19.75,1.0,,,
8,1995-10-16,19.75,19.5,1.0128,,,
9,1995-10-17,19.0,19.0,1.0,,,
10,1995-10-18,19.0,19.0,1.0,,,
11,1995-10-19,19.0,18.75,1.0133,,,
12,1995-10-20,18.5,18.5,1.0,,,
13,1995-10-23,18.25,18.25,1.0,,,
14,1995-10-25,18.125,18.25,0.9932,,,
15,1995-10-26,18.25,18.25,1.0,,,
16,1995-10-27,17.75,17.75,1.0,,,
17,1995-10-30,17.75,17.75,1.0,,,
18,1995-10-31,17.75,18.0,0.9861,,,
19,1995-11-01,17.0,19.0,0.8947,,,
20,1995-11-02,17.0,19.0,0.8947,0.978295238,,
21,1995-11-03,18.0,17.5,1.0286,0.979657143,,
22,1995-11-07,16.25,17.5,0.9286,0.979657143,,
23,1995-11-08,16.0,17.0,0.9412,0.9768571429999999,,
24,1995-11-09,17.25,17.75,0.9718,0.9761190479999999,,
25,1995-11-10,16.0,17.25,0.9275,0.976066667,,
26,1995-11-13,16.0,17.0,0.9412,0.977190476,,
27,1995-11-14,15.5,16.5,0.9394,0.9749095240000001,,
28,1995-11-17,15.75,18.0,0.875,0.968957143,,
29,1995-11-20,17.5,16.5,1.0606,0.9712333329999999,,
30,1995-11-21,15.625,16.75,0.9328,0.9680333329999999,,
31,1995-11-22,15.0,16.75,0.8955,0.963057143,,
32,1995-11-27,16.25,16.5,0.9848,0.9617,,
33,1995-11-28,16.75,16.75,1.0,0.9617,,
34,1995-11-29,15.25,16.5,0.9242,0.958090476,,
35,1995-11-30,15.25,16.5,0.9242,0.9548047620000001,,
36,1995-12-01,15.25,16.75,0.9104,0.950538095,,
37,1995-12-05,16.5,16.75,0.9851,0.949828571,,
38,1995-12-06,16.5,16.75,0.9851,0.949119048,,
39,1995-12-11,16.5,17.0,0.9706,0.948380952,,
40,1995-12-12,16.5,18.5,0.8919,0.9482476190000001,,
41,1995-12-14,16.25,18.5,0.8784,0.947471429,,
42,1995-12-19,18.25,18.5,0.9865,0.945466667,,
43,1995-12-20,18.25,17.0,1.0735,0.9523666670000001,,
44,1995-12-28,18.25,18.5,0.9865,0.95452381,,
45,1995-12-29,18.25,19.5,0.9359,0.952814286,,
46,1996-01-04,17.5,18.25,0.9589,0.954309524,,
47,1996-01-05,18.5,19.75,0.9367,0.954095238,,
48,1996-01-11,18.25,18.25,1.0,0.956980952,,
49,1996-01-12,18.25,18.0,1.0139,0.963595238,0.9666600000000001,
50,1996-01-16,18.25,18.1875,1.0034,0.9608714290000001,0.966728,
51,1996-01-17,17.5,19.5,0.8974,0.9591857140000001,0.9661040000000001,
52,1996-01-31,17.75,18.25,0.9726,0.9628571429999999,0.965556,
53,1996-02-01,17.75,19.0,0.9342,0.9604476190000001,0.9644940000000001,
54,1996-02-06,19.0,19.0,1.0,0.9604476190000001,0.965922,
55,1996-02-07,17.5,19.0,0.9211,0.9603,0.965992,
56,1996-02-08,17.5,18.0,0.9722,0.962585714,0.9656899999999999,
57,1996-02-09,18.25,18.0,1.0139,0.9675142859999999,0.965968,
58,1996-02-12,18.25,18.0,1.0139,0.968885714,0.96599,
59,1996-02-13,17.75,18.0,0.9861,0.968933333,0.9657120000000001,
60,1996-02-15,18.25,20.0,0.9125,0.966166667,0.9639620000000001,
61,1996-02-20,17.25,20.0,0.8625,0.964766667,0.960946,
62,1996-02-21,17.25,18.0,0.9583,0.968571429,0.9601120000000001,
63,1996-02-22,16.75,18.0,0.9306,0.9659095240000001,0.958724,
64,1996-02-23,15.5,18.0,0.8611,0.955795238,0.956082,
65,1996-02-27,15.625,17.375,0.8993,0.9516428570000001,0.954068,
66,1996-02-28,15.5,17.375,0.8921,0.9495571429999999,0.95191,
67,1996-02-29,17.0,19.0,0.8947,0.9465,0.9498040000000001,
68,1996-03-01,17.0,19.0,0.8947,0.9445,0.947976,
69,1996-03-05,15.5,19.0,0.8158,0.935728571,0.946398,
70,1996-03-07,15.75,17.0,0.9265,0.931566667,0.947034,
71,1996-03-11,15.5,17.0,0.9118,0.927204762,0.9446979999999999,
72,1996-03-12,15.625,16.5,0.9470000000000001,0.929566667,0.945066,
73,1996-03-14,15.5,16.0,0.9688,0.929385714,0.9456180000000001,
74,1996-03-15,16.75,16.75,1.0,0.932519048,0.946182,
75,1996-03-18,17.0,16.75,1.0149,0.9332285709999999,0.9479299999999999,
76,1996-03-19,15.5,16.0,0.9688,0.9355,0.9484819999999999,
77,1996-03-20,17.0,16.0,1.0625,0.9398,0.950944,
78,1996-03-21,15.5,16.0,0.9688,0.9376523809999999,0.9528200000000001,
